,question,options,answer,subject.name,category
1933,An okro plant in a maize farm is termed as,"[""[\""Crop\"",\""Flower\"",\""Pest\"",\""Weed\""]""]",Weed,Agricultural Science,JSS1
1934,The following are mechanical weed control EXCEPT,"[""[\""Crop rotation\"",\""Cutting\"",\""Hand pulling\"",\""Hoeing\""]""]",Crop rotation,Agricultural Science,JSS1
1941,The following are biting and chewing insects EXCEPT,"[""[\""Bettle\"",\""Grasshopper\"",\""Butterfly\"",\""Rat\""]""]",Rat,Agricultural Science,JSS1
1946,Pests cause damages to crop in the following ways EXCEPT,"[""[\"" eating up other pest in the farm  \"",\"" eating up the whole part of plants\"",\"" boring holes into various part of plants  \"",\""sucking juice from fruits and seeds\""]""]",eating up other pest in the farm,Agricultural Science,JSS1
1954,Weed are useful in the following ways EXCEPT,"[""[\""compete with crop for nutrient   \"",\"" conservation of water \"",\""control soil erosion\"",\""\""]""]",eating up other pest in the farm,Agricultural Science,JSS1
1956,The most effective method for controlling weed is,"[""[\""Cutting\"",\""Use of chemical\"",\""Hand pulling\"",\""Burning\""]""]",Use of chemical,Agricultural Science,JSS1
1961,Weeds possess the following characteristics EXCEPT,"[""[\""persistence \"",\"". high reproductive capacity\"",\"" low regenerative ability \"",\"" possession of various devices for dispersal\""]""]",low regenerative ability,Agricultural Science,JSS1
1964,Biological weed control is the use of ______ to control weed,"[""[\""Machine\"",\""Fire\"",\""Animals\"",\""Cutlass\""]""]",low regenerative ability,Agricultural Science,JSS1
1975,A non-insect pest that damages vegetables by feeding on their leaves is,"[""[\""Snail\"",\""Weaver bird\"",\""Bettle\"",\""Grasshopper\""]""]",Grasshopper,Agricultural Science,JSS1
1977,A non-insect pest that damages vegetables by feeding on their leaves is,"[""[\""Snail\"",\""Weaver bird\"",\""Bettle\"",\""Grasshopper\""]""]",Grasshopper,Agricultural Science,JSS2
1979,Which of the following is an example of burrowing insect?,"[""[\""Cricket\"",\""Grasshopper\"",\""Weevil\"",\""Locust\""]""]",Grasshopper,Agricultural Science,JSS2
1980,Which of the following is an example of burrowing insect?,"[""[\""Cricket\"",\""Grasshopper\"",\""Weevil\"",\""Locust\""]""]",Grasshopper,Agricultural Science,JSS1
1981,The major disadvantage of using biological method of weed control is that the animals,"[""[\""compete with the crops for nutrient  \"",\""may damage cultivated crops  \"",\"" increase soil nutrient  \"",\""plant crops\""]""]",may damage cultivated crops,Agricultural Science,JSS1
1982,The major disadvantage of using biological method of weed control is that the animals,"[""[\""compete with the crops for nutrient  \"",\""may damage cultivated crops  \"",\"" increase soil nutrient  \"",\""plant crops\""]""]",may damage cultivated crops,Agricultural Science,JSS2
1987,Mechanical method of weed control includes the following EXCEPT,"[""[\""destroying the weeds with herbicides  \"",\"" pulling weeds with hand\"",\"" cutting weeds with cutlass   \"",\""using hoe in removing weeds\""]""]",destroying the weeds with herbicides,Agricultural Science,JSS2
1988,Mechanical method of weed control includes the following EXCEPT,"[""[\""destroying the weeds with herbicides  \"",\"" pulling weeds with hand\"",\"" cutting weeds with cutlass   \"",\""using hoe in removing weeds\""]""]",destroying the weeds with herbicides,Agricultural Science,JSS1
1992,The following method are used for controlling weeds EXCEPT,"[""[\""hand pulling   \\t \"",\""use of herbicides  \"",\""   burning\"",\"" use of pesticide\""]""]",destroying the weeds with herbicides,Agricultural Science,JSS1
1993,The following method are used for controlling weeds EXCEPT,"[""[\""hand pulling   \\t \"",\""use of herbicides  \"",\""   burning\"",\"" use of pesticide\""]""]",destroying the weeds with herbicides,Agricultural Science,JSS2
