,question,options,answer,subject.name,category
449,The department responsible for selling the products of the organization is called,"[""[\""purchasing department\"",\""sales department\"",\""transport  department\"",\""planning department\""]""]",sales department,Business Studies,JSS1
450,The department responsible for selling the products of the organization is called,"[""[\""purchasing department\"",\""sales department\"",\""transport  department\"",\""planning department\""]""]",sales department,Business Studies,JSS2
451,The department responsible for selling the products of the organization is called,"[""[\""purchasing department\"",\""sales department\"",\""transport  department\"",\""planning department\""]""]",sales department,Business Studies,JSS3
454,The department responsible for record keeping and paying of wages of all  employee is called,"[""[\""Accounting department\"",\""sales department\"",\""marketing department \"",\""purchasing  department\""]""]",Accounting department,Business Studies,JSS3
455,The department responsible for record keeping and paying of wages of all  employee is called,"[""[\""Accounting department\"",\""sales department\"",\""marketing department \"",\""purchasing  department\""]""]",Accounting department,Business Studies,JSS1
456,The department responsible for record keeping and paying of wages of all  employee is called,"[""[\""Accounting department\"",\""sales department\"",\""marketing department \"",\""purchasing  department\""]""]",Accounting department,Business Studies,JSS2
457,The exchange and distribution of goods and services best define __________,"[""[\""commerce\"",\""book keeping \"",\""keyboarding \"",\""typist\""]""]",Accounting department,Business Studies,JSS2
458,The exchange and distribution of goods and services best define __________,"[""[\""commerce\"",\""book keeping \"",\""keyboarding \"",\""typist\""]""]",Accounting department,Business Studies,JSS1
459,The exchange and distribution of goods and services best define __________,"[""[\""commerce\"",\""book keeping \"",\""keyboarding \"",\""typist\""]""]",Accounting department,Business Studies,JSS3
462,__________ involves storing of goods in a safe place until they are needed,"[""[\""commerce\"",\""Advertising\"",\""transport\"",\""warehousing\""]""]",warehousing,Business Studies,JSS2
463,__________ involves storing of goods in a safe place until they are needed,"[""[\""commerce\"",\""Advertising\"",\""transport\"",\""warehousing\""]""]",warehousing,Business Studies,JSS1
466,A place where valuable things and money are kept is called__________,"[""[\""bank\"",\""safe \"",\""cabinet \"",\""warehouse \""]""]",bank,Business Studies,JSS1
467,A place where valuable things and money are kept is called__________,"[""[\""bank\"",\""safe \"",\""cabinet \"",\""warehouse \""]""]",bank,Business Studies,JSS2
