,question,options,answer,subject.name,category
706,"Family is a group of people related by blood, marriage, or....","[""[\""Religion\"",\""Baptism\"",\""Adoption\"",\""Faith\""]""]",Religion,Christian Religious Studies,JSS1
708,"Family is a group of people related by blood, marriage, or....","[""[\""Religion\"",\""Baptism\"",\""Adoption\"",\""Faith\""]""]",Religion,Christian Religious Studies,JSS3
711,There are major ........................ types of family.,"[""[\""Three\"",\""Four\"",\""Five\"",\""Two\""]""]",Religion,Christian Religious Studies,JSS1
715,"A family that comprises of the father, mother and children is known as .......","[""[\""Extended family\"",\""Nuclear family\"",\""Polygamous family\"",\""Polyandrous family\""]""]",Nuclear family,Christian Religious Studies,JSS1
716,"A family that comprises of the father, mother and children is known as .......","[""[\""Extended family\"",\""Nuclear family\"",\""Polygamous family\"",\""Polyandrous family\""]""]",Nuclear family,Christian Religious Studies,JSS3
717,The brother of your father or mother is known as ............,"[""[\""Nice\"",\""Cousin\"",\""Nephew\"",\""Uncle\""]""]",Uncle,Christian Religious Studies,JSS1
723,Mother is the ..................... parent who is next to the father.,"[""[\""Wife\"",\""Female\"",\""Help mate \"",\""Companion\""]""]",Female,Christian Religious Studies,JSS1
728,Mother is the ..................... parent who is next to the father.,"[""[\""Wife\"",\""Female\"",\""Help mate \"",\""Companion\""]""]",Female,Christian Religious Studies,JSS3
736,"Genesis is part of 
 ................. testament in the bible.","[""[\""New testament\"",\""Old testament\"",\""Former testament\"",\""None\""]""]",Female,Christian Religious Studies,JSS1
740,We choose friends in school for ...................,"[""[\""Companionship\"",\""Copy Right\"",\""Play group\"",\""Playing football\""]""]",Companionship,Christian Religious Studies,JSS1
741,We choose friends in school for ...................,"[""[\""Companionship\"",\""Copy Right\"",\""Play group\"",\""Playing football\""]""]",Companionship,Christian Religious Studies,JSS3
746,The sister of your father or mother is your ...............,"[""[\""Aunty \"",\""Cousin\"",\""Nice \"",\""Half sister \""]""]",Companionship,Christian Religious Studies,JSS1
748,Father has always been described as the ..................... of the family.,"[""[\""Lover\"",\""Head \"",\""Chairman\"",\""Manager\""]""]",Head,Christian Religious Studies,JSS1
