,question,options,answer,subject.name,category
194,The act of giving somebody money or gift to use against his/her wish for political advantage is known as _____________,"[""[\""buying\"",\""gerrymandering\"",\""cross carpeting \"",\""bribery\""]""]",bribery,Civic Education,JSS1
195,The quality of being useful or important is called ______________,"[""[\""integrity\"",\""value\"",\""tolerance\"",\""unity\""]""]",value,Civic Education,JSS1
196,The quality of being useful or important is called ______________,"[""[\""integrity\"",\""value\"",\""tolerance\"",\""unity\""]""]",value,Civic Education,JSS2
198,The quality of being useful or important is called ______________,"[""[\""integrity\"",\""value\"",\""tolerance\"",\""unity\""]""]",value,Civic Education,JSS3
199,All of the following promote good value system except  ______________,"[""[\""consistency \"",\""trust\"",\""intolerance\"",\""commitment\""]""]",intolerance,Civic Education,JSS3
200,All of the following promote good value system except  ______________,"[""[\""consistency \"",\""trust\"",\""intolerance\"",\""commitment\""]""]",intolerance,Civic Education,JSS2
201,All of the following promote good value system except  ______________,"[""[\""consistency \"",\""trust\"",\""intolerance\"",\""commitment\""]""]",intolerance,Civic Education,JSS1
202,All except one is the attribute of integrity,"[""[\""honesty\"",\""fair play \"",\""truthfulness\"",\""cheating \""]""]",cheating,Civic Education,JSS1
204,All except one is the attribute of integrity,"[""[\""honesty\"",\""fair play \"",\""truthfulness\"",\""cheating \""]""]",cheating,Civic Education,JSS2
205,The number of states in Nigeria are __________,"[""[\""31\"",\""36\"",\""35\"",\""37\""]""]",36,Civic Education,JSS2
206,The number of states in Nigeria are __________,"[""[\""31\"",\""36\"",\""35\"",\""37\""]""]",36,Civic Education,JSS1
208,Which of the following does not belong to the attribute of a courageous person in the community?,"[""[\""diligence\"",\""inefficiency\"",\""commitment \"",\""determination\""]""]",36,Civic Education,JSS1
209,Which of the following does not belong to the attribute of a courageous person in the community?,"[""[\""diligence\"",\""inefficiency\"",\""commitment \"",\""determination\""]""]",36,Civic Education,JSS2
210,One of the things cooperation can lead to is ____________,"[""[\""strength\"",\""increase of population\"",\""goal achievement\"",\""increase in size\""]""]",goal achievement,Civic Education,JSS2
211,One of the things cooperation can lead to is ____________,"[""[\""strength\"",\""increase of population\"",\""goal achievement\"",\""increase in size\""]""]",goal achievement,Civic Education,JSS1
213,"The arms of government are judiciary, legislature and ____________","[""[\""senate\"",\""house of representative \"",\""president \"",\""executive\""]""]",executive,Civic Education,JSS1
214,"The arms of government are judiciary, legislature and ____________","[""[\""senate\"",\""house of representative \"",\""president \"",\""executive\""]""]",executive,Civic Education,JSS2
215,The act of exercising boldness is known as  ____________,"[""[\""confidence \"",\""courage \"",\""endurance\"",\""out spoken\""]""]",courage,Civic Education,JSS2
216,The act of exercising boldness is known as  ____________,"[""[\""confidence \"",\""courage \"",\""endurance\"",\""out spoken\""]""]",courage,Civic Education,JSS1
217,A system of government where power is shared between the central and the subordinate state is called,"[""[\""unitary government \"",\""federation\"",\""republican\"",\""democracy \""]""]",courage,Civic Education,JSS1
218,A system of government where power is shared between the central and the subordinate state is called,"[""[\""unitary government \"",\""federation\"",\""republican\"",\""democracy \""]""]",courage,Civic Education,JSS2
219,A system of government where power is shared between the central and the subordinate state is called,"[""[\""unitary government \"",\""federation\"",\""republican\"",\""democracy \""]""]",courage,Civic Education,JSS3
224,The process of counting citizens of a country officially is called ____________,"[""[\""census\"",\""numbering\"",\""by election \"",\""referendum \""]""]",census,Civic Education,JSS3
225,The process of counting citizens of a country officially is called ____________,"[""[\""census\"",\""numbering\"",\""by election \"",\""referendum \""]""]",census,Civic Education,JSS2
226,The process of counting citizens of a country officially is called ____________,"[""[\""census\"",\""numbering\"",\""by election \"",\""referendum \""]""]",census,Civic Education,JSS1
229,One of the attributes of contentment is  ____________,"[""[\""satisfaction\"",\""envy\"",\""greed\"",\""corruption\""]""]",census,Civic Education,JSS1
230,One of the attributes of contentment is  ____________,"[""[\""satisfaction\"",\""envy\"",\""greed\"",\""corruption\""]""]",census,Civic Education,JSS2
233,Discipline means  ____________,"[""[\""respect for legal authority \"",\""attitude of doing the right thing at the right time \"",\""exercise of patience\"",\""ability to retard one’s integrity\""]""]",attitude of doing the right thing at the right time,Civic Education,JSS2
234,Discipline means  ____________,"[""[\""respect for legal authority \"",\""attitude of doing the right thing at the right time \"",\""exercise of patience\"",\""ability to retard one’s integrity\""]""]",attitude of doing the right thing at the right time,Civic Education,JSS1
235,One of the consequence of indiscipline is   ____________,"[""[\""progress \"",\""trust \"",\""lateness\"",\""cooperation\""]""]",lateness,Civic Education,JSS1
236,One of the consequence of indiscipline is   ____________,"[""[\""progress \"",\""trust \"",\""lateness\"",\""cooperation\""]""]",lateness,Civic Education,JSS2
237,Nigeria capital territory is located in   ____________,"[""[\""Lagos\"",\""Port-Harcourt\"",\""Ibadan\"",\""Abuja\""]""]",Abuja,Civic Education,JSS1
238,The chief executive of local government is    ____________,"[""[\""councilor\"",\""honourable\"",\""governor\"",\""chairman\""]""]",Abuja,Civic Education,JSS1
239,One of the characteristics of a federation is    ____________,"[""[\""the separation of power\"",\""no constitution\"",\""no division of government power\"",\""all of the above \""]""]",the separation of power,Civic Education,JSS1
240,One of the features of a courageous person is     ____________,"[""[\""out-spokeness\"",\""fearful\"",\""modesty\"",\""punctuality \""]""]",the separation of power,Civic Education,JSS1
241,"A sense of strong moral standard, about life and situation is known as____________","[""[\""goodness\"",\""integrity\"",\""fairness\"",\""self-dependence\""]""]",integrity,Civic Education,JSS1
242,"A sense of strong moral standard, about life and situation is known as____________","[""[\""goodness\"",\""integrity\"",\""fairness\"",\""self-dependence\""]""]",integrity,Civic Education,JSS2
