,question,options,answer,subject.name,category
22,"Choose the option that does not have the same sound as the one represented by the symbol(s).
	
/p/","[""[\""Phone \"",\""Paper \"",\""Pin\"",\""Pear \""]""]",Phone,English Language,JSS1
23,"Choose the option that does not have the same sound as the one represented by the symbol(s).
	
/k/","[""[\""Climb\"",\""Kick\"",\""Chorus\"",\""Decide \""]""]",Decide,English Language,JSS1
24,"Choose the option that does not have the same sound as the one represented by the symbol(s).
	
/g/","[""[\""Good \"",\""Ghost\"",\""Badge\"",\""Drag \""]""]",Badge,English Language,JSS1
25,"Choose the option that does not have the same sound as the one represented by the symbol(s).
	
/dʒ/","[""[\""Gist\"",\""Cartridge\"",\""Adjust\"",\""Good \""]""]",Good,English Language,JSS1
26,"Choose the option that does not have the same sound as the one represented by the symbol(s).
	
/tʃ/","[""[\""Kitchen\"",\""Rich\"",\""Picture\"",\""She\""]""]",Good,English Language,JSS1
47,"Choose the option that does not have the same sound as the one represented by the symbol(s).

/f/","[""[\""Fan\"",\""Physics\"",\""Psychic\"",\""Pharmacy\""]""]",Psychic,English Language,JSS1
48,"Choose the option that has the same sound as the one represented by the symbol(s).

/e/","[""[\""Hair\"",\""Head\"",\""Chair\"",\""Girl\""]""]",Head,English Language,JSS1
49,"Choose the option that has the same sound as the one represented by the symbol(s).

/a:/","[""[\""Cat\"",\""Heart \"",\""Ball\"",\""Slap\""]""]",Head,English Language,JSS1
50,"Choose the option that has the same sound as the one represented by the symbol(s).

/au/","[""[\""Kite\"",\""South\"",\""Soil\"",\""Mind \""]""]",Head,English Language,JSS1
51,"Choose the option that has the same sound as the one represented by the symbol(s).

/ͻi /","[""[\""House\"",\""Moisture\"",\""Tail\"",\""Goal\""]""]",Head,English Language,JSS1
52,"From the options lettered A-D, choose the option that completes each of the following sentences.


The earth --------- spherical in shape.","[""[\""are\"",\""will be\"",\""was\"",\""is\""]""]",is,English Language,JSS1
53,"From the options lettered A-D, choose the option that completes each of the following sentences.


Literature has three parts: prose, poetry and ---------.","[""[\""action\"",\""character\"",\""costume\"",\""drama\""]""]",is,English Language,JSS1
