,question,options,answer,subject.name,category
714,"To boot a computer ssytem, the user needs","[""[\""Printer attached \"",\""Operating system\"",\""Virus Checking program\"",\""Word processing software \""]""]",Operating system,I.C.T,JSS1
720,To boot a computer means to_______,"[""[\""Put it off\"",\""Put it on\"",\""Restart it \"",\""Take it away\""]""]",Put it on,I.C.T,JSS1
729,Which of the following does not belong to the group _____,"[""[\""Microsoft Excel\"",\""Microsoft word\"",\""Word Perfect\"",\""Word Star\""]""]",Microsoft Excel,I.C.T,JSS1
734,The process that starts an operating system when a computer  is turned on is known as ___,"[""[\""Loading \"",\""Startup\"",\""Booting\"",\""Shutdown\""]""]",Booting,I.C.T,JSS1
742,The full meaning of fax is____,"[""[\""Facial \"",\""Facilitation\"",\""Facsimile\"",\""Fact finding\""]""]",Facsimile,I.C.T,JSS1
745,Integrated circuit used in the computer are usually made up of _____,"[""[\""Aluminium\"",\""Gold\"",\""Silicon\"",\""Lead\""]""]",Silicon,I.C.T,JSS1
750,Who invented mechanical calculator for adding numbers?,"[""[\""Augusta Ada\"",\""Charles babbage\"",\""Isaac Newton\"",\""Blaise pascal\""]""]",Blaise pascal,I.C.T,JSS1
754,Microsoft word is an example of ___ package,"[""[\""Application\"",\""Engineering\"",\""Graphics \"",\""System \""]""]",Application,I.C.T,JSS1
757,Which of these is the main computer used by the first generation,"[""[\""Transistor\"",\""Vacuum\"",\""Punch Card \"",\""Micro processor \""]""]",Vacuum,I.C.T,JSS1
775,Examples of industrial age tools,"[""[\""Computer and sewing machine \"",\""Automatic car\"",\""Automotive trains \"",\""Locomotive train and sewing machine \""]""]",Locomotive train and sewing machine,I.C.T,JSS1
811,_______ is an example of electronic age invention,"[""[\""Television\"",\""Shoe\"",\""Plastic\"",null]""]",Television,I.C.T,JSS1
836,An electronic machine that accept data process data and give out a meaningful information,"[""[\""Computer \"",\""Radio\"",\""Television\"",null]""]",Computer,I.C.T,JSS1
847,Transistors is the technology for which generation of computer,"[""[\""3rd\"",\""6th\"",\""2nd\"",null]""]",2nd,I.C.T,JSS1
859,Robotic is an example of ____generation of computer,"[""[\""6th\"",\""5th\"",\""7th\"",null]""]",5th,I.C.T,JSS1
868,There are ____generations of computer,"[""[\""10\"",\""5\"",\""9\"",null]""]",5,I.C.T,JSS1
875,A computer looks like ___,"[""[\""Blackboard\"",\""Television\"",\""Magazine \"",null]""]",Television,I.C.T,JSS1
