,question,options,answer,subject.name,category
584,The sum of two consecutive numbers are divided by their difference is equal to 9. Find the larger number,"[""[\""-5\"",\""8\"",\""6\"",\""5\""]""]",5,Mathematics,JSS2
585,The sum of two consecutive numbers are divided by their difference is equal to 9. Find the larger number,"[""[\""-5\"",\""8\"",\""6\"",\""5\""]""]",5,Mathematics,JSS3
586,Simplify the expression 4p + 45q – 3p – 40q,"[""[\""7p + 95q\"",\""p – 5q\"",\""7p + 5q\"",\""p + 5q\""]""]",5,Mathematics,JSS3
587,Simplify the expression 4p + 45q – 3p – 40q,"[""[\""7p + 95q\"",\""p – 5q\"",\""7p + 5q\"",\""p + 5q\""]""]",5,Mathematics,JSS2
588,Simplify the expression 4p + 45q – 3p – 40q,"[""[\""7p + 95q\"",\""p – 5q\"",\""7p + 5q\"",\""p + 5q\""]""]",5,Mathematics,JSS1
589,Evaluate 3^(x+2) =27,"[""[\""1\"",\""-1\"",\""3\"",\"" -3\""]""]",1,Mathematics,JSS1
590,Evaluate 3^(x+2) =27,"[""[\""1\"",\""-1\"",\""3\"",\"" -3\""]""]",1,Mathematics,JSS2
591,Three times a number is 7 greater than the number. Find the number,"[""[\""-16\"",\""-5\"",\""6\"",\""16\""]""]",6,Mathematics,JSS2
592,Three times a number is 7 greater than the number. Find the number,"[""[\""-16\"",\""-5\"",\""6\"",\""16\""]""]",6,Mathematics,JSS1
593,Given that y=(x+9)/(x-3)    find the value of x when y=4,"[""[\""7\"",\""4\"",\"" 3 \"",\""-3\""]""]",7,Mathematics,JSS1
594,Given that y=(x+9)/(x-3)    find the value of x when y=4,"[""[\""7\"",\""4\"",\"" 3 \"",\""-3\""]""]",7,Mathematics,JSS2
596,Given that y=(x+9)/(x-3)    find the value of x when y=4,"[""[\""7\"",\""4\"",\"" 3 \"",\""-3\""]""]",7,Mathematics,JSS3
599,Expand (4x-2) (3+x),"[""[\""11x- 4x^2+6\"",\""11x-4x-6 \"",\""4x^2+10x-6\"",\""12x + 4x^2 – 6   \""]""]",4x^2+10x-6,Mathematics,JSS3
600,Expand (4x-2) (3+x),"[""[\""11x- 4x^2+6\"",\""11x-4x-6 \"",\""4x^2+10x-6\"",\""12x + 4x^2 – 6   \""]""]",4x^2+10x-6,Mathematics,JSS2
601,Evaluate (2y-2)/2+(2y+2)/3  where y= 2,"[""[\""1\"",\""2\"",\""3\"",\""5\""]""]",4x^2+10x-6,Mathematics,JSS2
602,Evaluate (2y-2)/2+(2y+2)/3  where y= 2,"[""[\""1\"",\""2\"",\""3\"",\""5\""]""]",4x^2+10x-6,Mathematics,JSS1
603,"If 12 is subtracted from three times a number, the result is equal to two-third of the number plus 16. What is the number?","[""[\""7\"",\""8\"",\""9\"",\""12\""]""]",12,Mathematics,JSS2
604,"If 12 is subtracted from three times a number, the result is equal to two-third of the number plus 16. What is the number?","[""[\""7\"",\""8\"",\""9\"",\""12\""]""]",12,Mathematics,JSS3
606,Find the product of -15z and 17qrz,"[""[\""-255zr\"",\""-255qrz^2\"",\""-255qz \"",\""255qr \""]""]",-255qrz^2,Mathematics,JSS3
607,Find the product of -15z and 17qrz,"[""[\""-255zr\"",\""-255qrz^2\"",\""-255qz \"",\""255qr \""]""]",-255qrz^2,Mathematics,JSS2
610,Which of the following is a plane shape?,"[""[\""circle\"",\""cone \"",\""cube\"",\""cuboid    \""]""]",circle,Mathematics,JSS2
611,Which of the following is a plane shape?,"[""[\""circle\"",\""cone \"",\""cube\"",\""cuboid    \""]""]",circle,Mathematics,JSS1
612,The following are properties of a square EXCEPT _____,"[""[\""all four sides are equal\"",\""diagonal are equal\"",\""only one pair of side is equal\"",\""opposite side are parallel\""]""]",only one pair of side is equal,Mathematics,JSS1
613,The following are properties of a square EXCEPT _____,"[""[\""all four sides are equal\"",\""diagonal are equal\"",\""only one pair of side is equal\"",\""opposite side are parallel\""]""]",only one pair of side is equal,Mathematics,JSS2
617,The following are quadrilaterals EXCEPT___,"[""[\""square\"",\""circle \"",\""rectangle \"",\""trapezium \""]""]",circle,Mathematics,JSS2
