,question,options,answer,subject.name,category
722,Which of the following is not a common crime in our society,"[""[\""Advance fee fraud(419)\"",\""Early marriage\"",\""Rape\"",\""Sales of contaminated food\""]""]",Early marriage,Social Studies,JSS1
730,One of the following is not a reason for theft,"[""[\""To get back at someone\"",\""To be part of a group\"",\""To get national award\"",\""To get attention from family and friends\""]""]",To get national award,Social Studies,JSS1
735,Which of the following is true? Those who steal______,"[""[\""Make good friends\"",\""Become suspect at every instance of theft\"",\""May get arrested\"",\""Are always respected as dealer\""]""]",To get national award,Social Studies,JSS1
747,What is the best for a rape victim,"[""[\""Need counseling\"",\""Must be rejected by the society\"",\""Must be sent to an entrepreneur \"",\""Must go to jail\""]""]",Need counseling,Social Studies,JSS1
753,The full meaning of EFCC is______,"[""[\""Economic force concerning crime\"",\""Economic finance corruption council\"",\""Economic and financial crime commission\"",\""Economic federal committee on crime\""]""]",Economic and financial crime commission,Social Studies,JSS1
758,The two(2) bodies set up by the federal government of Nigeria to try cases involving fraud are?,"[""[\""Central Bank and NNPC\"",\""ICPC and EFCC\"",\""Bank for finance and commerce\"",\""419 and eco bank\""]""]",Economic finance corruption council,Social Studies,JSS1
772,Which of the following is not an attribute of fake drug?,"[""[\""It is sold in motor vehicles with vendors telling people how good the drug is\"",\""It is prepared and mixed with orthodox medicine\"",\""It is a limitation of fast moving drugs\"",\""It is drug with active ingredients\""]""]",Central Bank and NNPC,Social Studies,JSS1
778,HIV means,"[""[\""Highly infectious virus\"",\""Home induce virus\"",\""Human immune deficiency virus\"",\""Human immunization deadly virus\""]""]",Human immune deficiency virus,Social Studies,JSS1
783,Music can be used in all of these occasions except one,"[""[\""Wedding\"",\""War\"",\""Communication\"",\""Fishing\""]""]",Human immunization deadly virus,Social Studies,JSS1
795,______ is assisting in controlling traffic in the highways,"[""[\""RSC\"",\""FRSC\"",\""NYSC\"",\""NCDC\""]""]",FRSC,Social Studies,JSS1
801,The following are good examples of agents of socialisation except,"[""[\""Church\"",\""Family\"",\""Club\"",\""At work\""]""]",Club,Social Studies,JSS1
807,The following are various kinds of newspapers in Nigeria except_____,"[""[\""Nation newspaper\"",\""Network newspaper\"",\""Daily news paper\"",\""\""]""]",Network newspaper,Social Studies,JSS1
839,Social and physical environment are good examples of _____ agent of socialisation,"[""[\""Community\"",\""Family\"",\""Playmates\"",\""Housemates\""]""]",Nation newspaper,Social Studies,JSS1
846,Which of the following is an examples of voluntary organisation,"[""[\""Police\"",\""Navy\"",\""Scout\"",\""Marine\""]""]",Playmates,Social Studies,JSS1
851,Examination malpractices is part of the social problems,"[""[\""True\"",\""False\"",\""True/False\"",\""None\""]""]",True,Social Studies,JSS1
882,"A family consists of____,_____ and _____","[""[\""Father, Mother and Sister\"",\""Father, Mother and Children\"",\""Father's, Mother's and Children's\"",\""None\""]""]",False,Social Studies,JSS1
890,Cultism in our society today can best be controlled by ______,"[""[\""Moral studies\"",\""Prayer\"",\""Killing\"",\""Nativity\""]""]",Moral studies,Social Studies,JSS1
899,Social problems have negative affects in our society,"[""[\""True\"",\""False\"",\""All of the above\"",\""\""]""]",Moral studies,Social Studies,JSS1
907,One of the effects of cultism is _____,"[""[\""It destroys one future\"",\""Keeps one in high position\"",\""You command respect\"",\""All of the above\""]""]",Moral studies,Social Studies,JSS1
914,HIV/AIDS can best be transmitted by_____,"[""[\""Blood contact\"",\""Hand shake\"",\""Sleeping together\"",\""None of the above\""]""]",Moral studies,Social Studies,JSS1
921,Which part of Nigeria is kidnapping/robbery mostly common,"[""[\""Lagos\"",\""River\"",\""Kaduna\"",\""All of the above\""]""]",Kaduna,Social Studies,JSS1
931,Which of these is the main socializing agent of the child in the early years?,"[""[\""The mother alone\"",\""The playmates\"",\""The family\"",\""The teacher\""]""]",Kaduna,Social Studies,JSS1
941,The process of learning which take place through interaction and enables the individual to know about a society is called______,"[""[\""Culture\"",\""Religious organization\"",\""Adoption\"",\""Socialisation\""]""]",Socialisation,Social Studies,JSS1
949,One of these is not an agent of socialisation?,"[""[\""Peer group\"",\""Occult group\"",\""Formal educational institutions\"",\""Mass media\""]""]",Occult group,Social Studies,JSS1
961,What is the real objective of socialisation?,"[""[\""To make a person known much about arts and crafts\"",\""To make a person rule the community\"",\""To make a person known much about arts and crafts\"",\""\""]""]",To make a person known much about arts and crafts,Social Studies,JSS1
970,Socialisation is all about cultures and values,"[""[\""Agree\"",\""Strongly agree\"",\""Disagree\"",\""Disabled\""]""]",Disagree,Social Studies,JSS1
977,Road safety is an agent of socialisation that is responsible for trafficking and saving of life,"[""[\""False\"",\""I don't think so\"",\""True\"",\""Agree\""]""]",False,Social Studies,JSS1
985,Road safety club was supported by _____,"[""[\""Volunteers\"",\""Government\"",\""Organisation\"",\""\""]""]",False,Social Studies,JSS1
994,Social studies can be learned through these means except,"[""[\""Conflict\"",\""Discussion\"",\""Observations\"",\""Research\""]""]",False,Social Studies,JSS1
1001,Which of the following subjects brings all experience of society together by way of interrelationship?,"[""[\""Business studies\"",\""Geography\"",\""Social studies\"",\""History\""]""]",Social studies,Social Studies,JSS1
1005,Which year did Nigeria became a republic,"[""[\""1960\"",\""1963\"",\""1962\"",\""1961\""]""]",1963,Social Studies,JSS1
1021,"Classmates, coursemates are typical examples of a_____ social group","[""[\""Tertiary\"",\""Secondary\"",\""Primary\"",\""Preschool\""]""]",Secondary,Social Studies,JSS1
1022,"Classmates, coursemates are typical examples of a_____ social group","[""[\""Tertiary\"",\""Secondary\"",\""Primary\"",\""Preschool\""]""]",Secondary,Social Studies,JSS2
1029,The primary cause of poverty is,"[""[\""Laziness\"",\""Few natural resources\"",\""Literacy\"",\""Large family size\""]""]",Literacy,Social Studies,JSS1
1030,The primary cause of poverty is,"[""[\""Laziness\"",\""Few natural resources\"",\""Literacy\"",\""Large family size\""]""]",Literacy,Social Studies,JSS2
1039,How many times of marriage do we have?,"[""[\""2\"",\""3\"",\""4\"",\""5\""]""]",3,Social Studies,JSS1
1041,A family which is made up of a man his wife and children is called,"[""[\""Compound\"",\""Extended\"",\""Nuclear\"",\""Monogamous\""]""]",Nuclear,Social Studies,JSS1
1043,A family which is made up of a man his wife and children is called,"[""[\""Compound\"",\""Extended\"",\""Nuclear\"",\""Monogamous\""]""]",Nuclear,Social Studies,JSS2
1057,Families that live together are usually ______ in the society,"[""[\""Rejected\"",\""Respected\"",\""Inculcated\"",\""Avoid\""]""]",Respected,Social Studies,JSS1
1059,Families that live together are usually ______ in the society,"[""[\""Rejected\"",\""Respected\"",\""Inculcated\"",\""Avoid\""]""]",Respected,Social Studies,JSS2
1067,Good family reputation gives _____ to member of the family,"[""[\""Great faith\"",\""Company\"",\""Good game\"",\""Good name\""]""]",Good name,Social Studies,JSS1
1068,Good family reputation gives _____ to member of the family,"[""[\""Great faith\"",\""Company\"",\""Good game\"",\""Good name\""]""]",Good name,Social Studies,JSS2
1075,419 is also know as,"[""[\""Gbajue\"",\""Advanced fee fraud\"",\""Advancement fraud\"",\""Advance fee fraudsters\""]""]",Advanced fee fraud,Social Studies,JSS1
1078,419 is also know as,"[""[\""Gbajue\"",\""Advanced fee fraud\"",\""Advancement fraud\"",\""Advance fee fraudsters\""]""]",Advanced fee fraud,Social Studies,JSS2
1098,A man and woman are joined together in _____ except,"[""[\""Marriage\"",\""Unicorn\"",\""Union\"",\""Unity\""]""]",Advanced fee fraud,Social Studies,JSS1
1099,A man and woman are joined together in _____ except,"[""[\""Marriage\"",\""Unicorn\"",\""Union\"",\""Unity\""]""]",Advanced fee fraud,Social Studies,JSS2
1124,Which of these is an example of a primary social group,"[""[\""Church\"",\""Family\"",\""Market\"",\""School\""]""]",Family,Social Studies,JSS2
1130,Which of the following is not a form of marriage,"[""[\""Christian\"",\""Monogamous\"",\""Court\"",\""Customary\""]""]",Customary,Social Studies,JSS2
1141,Which of these is the most important reason for marriage?,"[""[\""Companionship\"",\""Love making\"",\""Recognition in the society\"",\""Having more hands on the farms\""]""]",Companionship,Social Studies,JSS2
1150,"All these except one, are the characteristics of a secondary social_____","[""[\""Members are related at all by blood\"",\""Members are few\"",\""Members usually don't have face to face interaction\"",\""Members share the same norms\""]""]",Companionship,Social Studies,JSS2
1161,Social studies can best be defined as the study of______,"[""[\""How man produces what he wants\"",\""Man and his environment\"",\""Man and his family\"",\""What man passes through in life\""]""]",Man and his environment,Social Studies,JSS2
1168,The physical environment consist of the following except,"[""[\""Land and water\"",\""Vegetation and mineraln\"",\""Natural and man made\"",\""Settlement and cities\""]""]",Settlement and cities,Social Studies,JSS2
1173,NAPEP was established to meet all these needs except,"[""[\""Assist people to acquire various skills\"",\""To help people with loan to start a business\"",\""To build houses for people\"",\""To help address the issue of poverty\""]""]",To build houses for people,Social Studies,JSS2
1178,One of these is not an illicit drug,"[""[\""Indian hemp\"",\""Cocaine\"",\""Paracetamol\"",\""Heroine\""]""]",To build houses for people,Social Studies,JSS2
1180,______ is responsible for arresting those that traffic drugs,"[""[\""EFCC\"",\""ICPC\"",\""NDLEA\"",\""NAPEP\""]""]",To build houses for people,Social Studies,JSS2
1235,Which year did Nigeria became a republic,"[""[\""1960\"",\""1963\"",\""1962\"",\""1961\""]""]",1963,Social Studies,JSS2
1241,Which of the following organisation is not voluntary organisation?,"[""[\""Boys bridgade\"",\""Boys scouts\"",\""Girls guide\"",\""Police force\""]""]",Police force,Social Studies,JSS2
1255,A typical example of mass action is,"[""[\""Large number of people buying food stuff in the market\"",\""A congregation worshipping in the church\"",\""A group of people building in a site\"",\""People protesting like in petroleum pump price\""]""]",Police force,Social Studies,JSS2
1264,"Kick back, bribery, embezzlement of funds are examples of which social problems","[""[\""Drug trafficking\"",\""Child abuse\"",\""Corruption\"",\""Drug abuse\""]""]",Corruption,Social Studies,JSS2
1275,What is the acronym of NDLEA,"[""[\""Nigeria Drug Law Enforcement Agency\"",\""National Drug Law Enforcement Agency\"",\""National Drug Law Empowerment Agency\"",\""National Drug Enforcement Agent\""]""]",National Drug Law Enforcement Agency,Social Studies,JSS2
1282,One of the consequences of cultism is,"[""[\""Violence killings\"",\""Peace and unity\"",\""Cooperation\"",\""Harmony\""]""]",Violence killings,Social Studies,JSS2
1291,Social studies can learned through these means except,"[""[\""Conflict\"",\""Discussion\"",\""Observation\"",\""Research\""]""]",Violence killings,Social Studies,JSS2
