,question,options,answer,subject.name,category
2968,How many ethnic groups do we have in Nigeria?,"[""[\""250\"",\""265\"",\""320\"",\""210\""]""]",250,Summer 2022 Quiz,JSS3
2971,Who is the current vice president of the federal republic of Nigeria?,"[""[\""Prof. Yemi Osinbajo\"",\""Prof. Tunde Osinbajo\"",\""Prof. Sola Osinbajo\"",\""Prof. K Osinbajo\""]""]",Prof. Yemi Osinbajo,Summer 2022 Quiz,JSS1
2972,Who is the current vice president of the federal republic of Nigeria?,"[""[\""Prof. Yemi Osinbajo\"",\""Prof. Tunde Osinbajo\"",\""Prof. Sola Osinbajo\"",\""Prof. K Osinbajo\""]""]",Prof. Yemi Osinbajo,Summer 2022 Quiz,JSS2
2973,Who is the current vice president of the federal republic of Nigeria?,"[""[\""Prof. Yemi Osinbajo\"",\""Prof. Tunde Osinbajo\"",\""Prof. Sola Osinbajo\"",\""Prof. K Osinbajo\""]""]",Prof. Yemi Osinbajo,Summer 2022 Quiz,JSS3
3057,All but one of the following is not a symbol of political culture,"[""[\""An anthem\"",\""A national flag\"",\""The government\"",\""The constitution\""]""]",The government,Summer 2022 Quiz,JSS1
3058,All but one of the following is not a symbol of political culture,"[""[\""An anthem\"",\""A national flag\"",\""The government\"",\""The constitution\""]""]",The government,Summer 2022 Quiz,JSS2
3059,All but one of the following is not a symbol of political culture,"[""[\""An anthem\"",\""A national flag\"",\""The government\"",\""The constitution\""]""]",The government,Summer 2022 Quiz,JSS3
3063,"A political concept that defines the beliefs, attitudes and values of a society is called","[""[\""Referendum\"",\""Political socialization\"",\"" Political culture\"",\"" Political transformation\""]""]",Political culture,Summer 2022 Quiz,JSS1
3064,"A political concept that defines the beliefs, attitudes and values of a society is called","[""[\""Referendum\"",\""Political socialization\"",\"" Political culture\"",\"" Political transformation\""]""]",Political culture,Summer 2022 Quiz,JSS2
3065,"A political concept that defines the beliefs, attitudes and values of a society is called","[""[\""Referendum\"",\""Political socialization\"",\"" Political culture\"",\"" Political transformation\""]""]",Political culture,Summer 2022 Quiz,JSS3
3070,A nation consists of people with,"[""[\"" All of the above\"",\""A shared set of values\"",\""Common history\"",\""Common ancestry\""]""]",All of the above,Summer 2022 Quiz,JSS2
3071,A nation consists of people with,"[""[\"" All of the above\"",\""A shared set of values\"",\""Common history\"",\""Common ancestry\""]""]",All of the above,Summer 2022 Quiz,JSS3
3084,Free education was introduced in West region by which of these premiers?,"[""[\""Chief S.L. Akintola\"",\""Chief Michael Adekunle Ajasin\"",\""Chief Obafemi Awolowo\"",\""Chief Bola Ige\""]""]",Chief Obafemi Awolowo,Summer 2022 Quiz,JSS2
3085,Free education was introduced in West region by which of these premiers?,"[""[\""Chief S.L. Akintola\"",\""Chief Michael Adekunle Ajasin\"",\""Chief Obafemi Awolowo\"",\""Chief Bola Ige\""]""]",Chief Obafemi Awolowo,Summer 2022 Quiz,JSS3
3099,"A parliamentary system, who ensures that members are in the house to vote on major issues is","[""[\""party leaders\"",\""whip\"",\""clerk of the house\"",\""speaker of the house\""]""]",whip,Summer 2022 Quiz,JSS3
3100,"A parliamentary system, who ensures that members are in the house to vote on major issues is","[""[\""party leaders\"",\""whip\"",\""clerk of the house\"",\""speaker of the house\""]""]",whip,Summer 2022 Quiz,JSS2
3102,A major issue that distinguishes pressure groups from political parties is,"[""[\""ideology\"",\""voting patterns\"",\""membership\"",\""objective\""]""]",westminster system of government,Summer 2022 Quiz,JSS1
3103,"In the process of implementing laws, the executive sometimes performs","[""[\""oversight functions\"",\""legislative functions\"",\""bureaucratic functions\"",\""judicial functions\""]""]",legislative functions,Summer 2022 Quiz,JSS1
3104,"In the Igbo political system, the most senior member of the council of elders is the","[""[\""Okpara\"",\""Eze\"",\""Obi\"",\""Ofo\""]""]",Okpara,Summer 2022 Quiz,JSS1
3105,The amalgamation of the northern and southern protectorate and the colony of Lagos was in,"[""[\""1960\"",\""1957\"",\""1966\"",\""1914\""]""]",1914,Summer 2022 Quiz,JSS1
3106,The amalgamation of the northern and southern protectorate and the colony of Lagos was in,"[""[\""1960\"",\""1957\"",\""1966\"",\""1914\""]""]",1914,Summer 2022 Quiz,JSS2
3107,The amalgamation of the northern and southern protectorate and the colony of Lagos was in,"[""[\""1960\"",\""1957\"",\""1966\"",\""1914\""]""]",1914,Summer 2022 Quiz,JSS3
3108,The branch of government responsible for implementing laws is the,"[""[\""judiciary\"",\""legislature\"",\""executive\"",\""police\""]""]",executive,Summer 2022 Quiz,JSS1
3109,The branch of government responsible for implementing laws is the,"[""[\""judiciary\"",\""legislature\"",\""executive\"",\""police\""]""]",executive,Summer 2022 Quiz,JSS2
3110,The legislature performs the following functions except,"[""[\""determines the general direction of public policy\"",\""enforcing the law\"",\""exercises power of appointment of government officials\"",\""investigating and monitoring the activities of the officials of government\""]""]",enforcing the law,Summer 2022 Quiz,JSS1
3111,The legislature performs the following functions except,"[""[\""determines the general direction of public policy\"",\""enforcing the law\"",\""exercises power of appointment of government officials\"",\""investigating and monitoring the activities of the officials of government\""]""]",enforcing the law,Summer 2022 Quiz,JSS2
3112,The legislature performs the following functions except,"[""[\""determines the general direction of public policy\"",\""enforcing the law\"",\""exercises power of appointment of government officials\"",\""investigating and monitoring the activities of the officials of government\""]""]",enforcing the law,Summer 2022 Quiz,JSS3
3113,The EFCC was established to,"[""[\""arrest, detain and prosecute corrupt state governors and legislators\"",\""arrest and trial corrupt politicians\"",\""assist the world bank in monitoring economic projects in Nigeria\"",\""combat economic and financial crimes in Nigeria\""]""]",combat economic and financial crimes in Nigeria,Summer 2022 Quiz,JSS3
3114,The EFCC was established to,"[""[\""arrest, detain and prosecute corrupt state governors and legislators\"",\""arrest and trial corrupt politicians\"",\""assist the world bank in monitoring economic projects in Nigeria\"",\""combat economic and financial crimes in Nigeria\""]""]",combat economic and financial crimes in Nigeria,Summer 2022 Quiz,JSS2
3115,The EFCC was established to,"[""[\""arrest, detain and prosecute corrupt state governors and legislators\"",\""arrest and trial corrupt politicians\"",\""assist the world bank in monitoring economic projects in Nigeria\"",\""combat economic and financial crimes in Nigeria\""]""]",combat economic and financial crimes in Nigeria,Summer 2022 Quiz,JSS1
3116,"Under the 1963 republican constitution, the president exercised","[""[\""concurrent powers\"",\""executive powers\"",\""nominal powers\"",\""judicial powers\""]""]",nominal powers,Summer 2022 Quiz,JSS3
3117,Politics is an act for,"[""[\""states to control its destiny\"",\""man to create government\"",\""to determine orders\"",\""man to govern himself\""]""]",man to govern himself,Summer 2022 Quiz,JSS2
3118,Which of the following is not one of the functions of the modern legislature?,"[""[\""collecting taxes\"",\""performing oversight functions\"",\"" making laws\"",\""ratification of treaties\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3119,The oldest written constitution is,"[""[\""american constitution\"",\""german constitution\"",\""british constitution\"",\""roman constitution\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3120,"In a parliamentary system of government, the function of the head of state and the head of government are vested in","[""[\""two different individuals\"",\""the ministerial counci\"",\""the inner cabinet\"",\""an individual\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3121,"In a parliamentary system of government, the function of the head of state and the head of government are vested in","[""[\""two different individuals\"",\""the ministerial counci\"",\""the inner cabinet\"",\""an individual\""]""]",collecting taxes,Summer 2022 Quiz,JSS2
3122,"In a parliamentary system of government, the function of the head of state and the head of government are vested in","[""[\""two different individuals\"",\""the ministerial counci\"",\""the inner cabinet\"",\""an individual\""]""]",collecting taxes,Summer 2022 Quiz,JSS3
3123,"In the federal constitution, legislative powers that are shared by two levels of government are referred to as","[""[\""concurrent\"",\""exclusive\"",\""extra-ordinary\"",\""residual\""]""]",collecting taxes,Summer 2022 Quiz,JSS2
3124,"In the federal constitution, legislative powers that are shared by two levels of government are referred to as","[""[\""concurrent\"",\""exclusive\"",\""extra-ordinary\"",\""residual\""]""]",collecting taxes,Summer 2022 Quiz,JSS3
3125,"In the modern democracy, the ultimate source of sovereignty is the","[""[\""people\"",\""legislature and executive\"",\""ruling political party\"",\""judiciary\""]""]",collecting taxes,Summer 2022 Quiz,JSS3
3126,"In the modern democracy, the ultimate source of sovereignty is the","[""[\""people\"",\""legislature and executive\"",\""ruling political party\"",\""judiciary\""]""]",collecting taxes,Summer 2022 Quiz,JSS2
3127,"In the modern democracy, the ultimate source of sovereignty is the","[""[\""people\"",\""legislature and executive\"",\""ruling political party\"",\""judiciary\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3128,The agent of political socialization generally regarded as the most important is,"[""[\""family\"",\""school\"",\""churches and mosques\"",\""peer group\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3129,Serfs are the dominated class under,"[""[\""feudalism\"",\""socialism\"",\""capitalism\"",\""fascism\""]""]",collecting taxes,Summer 2022 Quiz,JSS2
3130,Serfs are the dominated class under,"[""[\""feudalism\"",\""socialism\"",\""capitalism\"",\""fascism\""]""]",collecting taxes,Summer 2022 Quiz,JSS3
3131,The four British colonial territories in west africa were,"[""[\"" Nigeria, Ghana, Sierra Leone and Gambia\"",\""Gambia, Guinea, Ghana and Gabon\"",\""Senegal, Ghana, Sierra Leone and Nigeria\"",\""Nigeria, Ghana, Togo and Gambia\""]""]",collecting taxes,Summer 2022 Quiz,JSS3
3132,The four British colonial territories in west africa were,"[""[\"" Nigeria, Ghana, Sierra Leone and Gambia\"",\""Gambia, Guinea, Ghana and Gabon\"",\""Senegal, Ghana, Sierra Leone and Nigeria\"",\""Nigeria, Ghana, Togo and Gambia\""]""]",collecting taxes,Summer 2022 Quiz,JSS2
3133,Public opinion is important because it,"[""[\""lets government know what the people want\"",\""allows police to manage crisis\"",\"" guarantees people's freedom and rights\"",\""tells government what action it must take\""]""]",collecting taxes,Summer 2022 Quiz,JSS1
3134,A system in which no single person serves as the chief executive is known as,"[""[\""parliamentary\"",\""revolutionary\"",\""collegial\"",\""republican\""]""]",collegial,Summer 2022 Quiz,JSS1
3135,A system in which no single person serves as the chief executive is known as,"[""[\""parliamentary\"",\""revolutionary\"",\""collegial\"",\""republican\""]""]",collegial,Summer 2022 Quiz,JSS2
3136,A system in which no single person serves as the chief executive is known as,"[""[\""parliamentary\"",\""revolutionary\"",\""collegial\"",\""republican\""]""]",collegial,Summer 2022 Quiz,JSS3
3137,Universal adult suffrage means all,"[""[\""adult citizens can vote\"",\""literate citizens can vote\"",\""citizens vote\"",\""qualified citizens can vote\""]""]",qualified citizens can vote,Summer 2022 Quiz,JSS1
3138,Universal adult suffrage means all,"[""[\""adult citizens can vote\"",\""literate citizens can vote\"",\""citizens vote\"",\""qualified citizens can vote\""]""]",qualified citizens can vote,Summer 2022 Quiz,JSS2
3139,Universal adult suffrage means all,"[""[\""adult citizens can vote\"",\""literate citizens can vote\"",\""citizens vote\"",\""qualified citizens can vote\""]""]",qualified citizens can vote,Summer 2022 Quiz,JSS3
3140,What does INEC stand for?,"[""[\""independent newspapers executive committee\"",\""independent national election committee\"",\"" independent national electoral commission\"",\""independent national export council\""]""]",independent national electoral commission,Summer 2022 Quiz,JSS1
