Order,Question,A,B,C,D,answer
1,Determine the amount for the beginning inventory,N 20,140,N10,240,N 8,140,N 7,240,B
2,The sum of direct cost in a manufacturing account is,production cost,prime cost,total cost,finance cost,B
3,A suspense account is used to,agree the trial balance,record sales,record purchases,correct errors,A
4,Which of the following is not stated in the partnership agreement?,Profit sharing ratio,Interest on capital,Interest on fixed asset,Purpose of partnership,C
5,Bad debt is also known as ,Unpaid debt,irrecoverable debt  ,Payment debt  ,current    debt,B
6,In a not-for-profit making organization, the cash book is referred to as,income and expenditure account.,receipts and payments account.,two column cash book.,petty cash book.,B
7,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
8,The order of financial accounting process involves: (I) recording; (II) presenting; (III) collecting; (IV) analyzing.,I, II. Ill and IV,II, III, I and IV,Ill, I, II and IV,IV, III, II and I,C
9,In the balance sheet, the subscription in arrears will be,N 200,N 300,N 1,200,N 1,300,C
10,Where a correct amount is entered, but in the wrong person's account, is an error of  ,Principle  , Omission,Commission,Compensation,C
11,Net turnover is referred to as,purchases,assets,sales,profits,C
12,Subscription in advance is treated in the Balance Sheet of 	non-profit making organizations as,current asset,fixed asset,Current liability,accumulated fund,C
13,When the purchase consideration exceeds the value of business, the difference is,profit,discount,goodwill,reserve,C
14,Rent receivable is a,current asset,current liability,contingent liability,fictitious asset,B
15,Which of the following is the equation for determining net profit or loss from the records of a firm?,Closing Capital - Drawings - Capital Introduced,Opening Capital + Drawings - Closing Capital,Closing Capital + Opening Capital - Drawings,Closing Capital + Drawings - Opening Capital,D
16,When closing stock is overstated, it would reduce,cost of sales and increase gross profit.,gross profit and increase cost of sales.,purchases and increase sales.,sales and increase purchases.,A
17,At the year end, the purchases ledger showed a debit balance of N 108. The total on the debit side of the purchases ledger control account will be,N 22,966,N 22,156,N 21,834,N 21,054,A
18,Which of the following is not a book of original entry?,Sales journal,Purchases account,Cash account,Return inwards journal,C
19,Which of the following does not appear in a bank statement?   ,Uncredited cheque ,Bank charges ,Dishonoured cheque , Dividend   received   on    behalf   of customer,D
20,In a not-for-profit making organization, the cash book is referred to as,income and expenditure account.,receipts and payments account.,two column cash book.,petty cash book.,B
21,A ledger is a,book of accounts,summary of entries,book of original entry,double entry posting,D
22,Musa, a prepaid customer of XYZ and KLM, bought  N1500 recharge card from XYZ and  N2000 recharge card from KLM for business calls. The entry to record these transaction is debit,telephone  N 3,500, credit XYZ and KLM  N 3,500,telephone N 3,500. credit cash  N 3,500,sundries N 3,500, credit KLM  N 3,500,sundries  N 3.500, credit telephone  N3,500,A
23,Share premium is an example of,revenue reserves,capital reserves,general reserves,loan capital,B
24,One of the purposes of maintaining the account of a branch at the head office is to,record charges in shareholdings,record charges in liabilities,check the excesses of customers,check the excesses of members of staff.,D
25,Unpresented cheques are cheque,that have been recorded in the cash book, but not by the bank,that have been received by the bank, but recorded in the cash book,returned by the bank,written, but not handed over to customers,A
26,Where there are no proper books of account, the capital at the commencement of a period is ascertained by preparing,Total Debtors and Creditors Accounts,Bank Reconciliation Statement,Statement of Affairs,Trading, Profit and Loss Accounts,C
27,The cost of putting goods into a saleable condition is charged to,balance sheet,trial balance,profit and loss account,trading account,D
28,Which of the following subsidiary books involves cash movement?,Sales day book,Purchases day book,Returns inwards book,Petty cash book,D
29,A ledger is a,book of accounts,summary of entries,book of original entry,double entry posting,D
30,Musa, a prepaid customer of XYZ and KLM, bought  N1500 recharge card from XYZ and  N2000 recharge card from KLM for business calls. The entry to record these transaction is debit,telephone  N 3,500, credit XYZ and KLM  N 3,500,telephone N 3,500. credit cash  N 3,500,sundries N 3,500, credit KLM  N 3,500,sundries  N 3.500, credit telephone  N3,500,A
31,Which of the following is a debit item in the purchases ledger control account?,Balance b/d,Cheque dishonoured,Purchases,Balance c/d,D
32,The test of arithmetical accuracy of all postings in the ledger is provided in the: ,Journal  ,Day book  ,Cash book  ,Trial balance,D
33,What is the net profit?,N  46,000,N 45,000,N  28,000,N  27,000,C
34,Badge Plc issued 450, 000 ordinary shares, of 50K each at N1 .50 per share. Application and allotment 45k, 1st call 50k, 2nd call 55k. Determine the amount received on final call.,N225, 000,N236, 250,N 247, 500,N 202, 500,C
35,Capital expenditure for the year was,Le 545,000,Le 490,000,Le 450,000,Le 300,000,B
36,The gross profit on manufacture is,N 6,120,N 6,100,N 5,100,N 5,000,C
37,The fourth stage of the accounting information system is,recording,interpreting,summarizing,classifying.,C
38,Where closing stock is undervalued, the effect is,an increase in gross profit,a decrease in gross profit,an increase in purchases,a decrease in purchases,B
39,The process whereby a cheque received by one person is given to another for payment is known as,cheque crossing,payment in cheque,cheque transfer,cheque endorsement.,C
40,What are the current liabilities?,I and II,IV and V,Ill and V,II and IV,B
41,Net turnover is referred to as,purchases,assets,sales,profits,C
42,The journal is a book ,of primary entry into which all transactions are entered before posting ,kept by journalist for reporting events ,of prime entry into which postings are made from the ledger  ,of analyzing major accounts,A
43,Which of the following accounts would be classified as a current on the balance sheet?,Office Equipment,Accumulated Depreciation,Land,Accounts receivable,D
44,The total expenditure for the period is,319,000.,270,000,139,000.,109,000.,D
45,  Which of the following is not part of the main uses of the journal , purchase and sale   of   fixed   assets   on  credit   ,the  correction of errors ,writing off bad debts ,none of the above,D
46,The instrument used to release fund which the minister of finance had earlier withheld is,reserve expenditure warrant,supplementary general warrant,provisional general warrant,supplementary statutory warrant,B
47,Which of the following does not appear in a bank statement?   ,Uncredited cheque ,Bank charges ,Dishonoured cheque , Dividend   received   on    behalf   of customer,D
