Order,Question,A,B,C,D,answer
1,Which of the following is an example of succulent feed?,Bone meal,Fish meal,Silage,Straw,C
2,The chemical used to control weed is called,Herbicide,Pesticide,Fungicide,Insecticide,A
3,Which of the following is a piercing and sucking insects,Aphid,Cricket,Grasshopper,Termite,A
4,The major disadvantage of using biological method of weed control is that the animals,compete with the crops for nutrient  ,may damage cultivated crops  , increase soil nutrient  ,plant crops,B
5,When plant refuses to germinate it is term to be,Recessive,Active,Viable,Dormant,D
6,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
7,The following crops are sources of carbohydrate EXCEPT,Cabbage,Rice,Potato,Cassava,A
8,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
9,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
10,A farmer can control endoparasite in his flock by, allowing animals to graze together , feeding animals adequately , providing water ,regular deworming ,D
11,_____ refers to the substances eaten by farm animals,Food,Feed,Forage,Feeder,C
12,Which of the following is a piercing and sucking insects,Aphid,Cricket,Grasshopper,Termite,A
13,Which of the following is a piercing and sucking insect?,Grasshopper,Butterfly,Termite,Bettle,B
14,Which of the following is a piercing and sucking insects,Aphid,Cricket,Grasshopper,Termite,A
15,A non-insect pest that damages vegetables by feeding on their leaves is,Snail,Weaver bird,Bettle,Grasshopper,D
16,The following are method of vegetative propagation EXCEPT _____,Budding,Cutting,Grafting,Sowing,D
17,The chemical used to control weed is called,Herbicide,Pesticide,Fungicide,Insecticide,A
18,Which of the following is NOT a storage facility for grains?,Crib,Pit,Sack,Silo,B
19,A good sources of calcium for animal feed production is,Blood meal,Bone meal, Cereal,Fishmeal,B
20,Growing of enough crop for farmer to feed himself and his family is regarded as,Commercial,Cooperative,Mixed,Subsistence,D
21,Weed are useful in the following ways EXCEPT,compete with crop for nutrient   , conservation of water ,control soil erosion,,A
22,The functioning of carbohydrate is to supply___ and help to___ up fat., power, build,  energy and break  ,. build and energy,energy and build.,D
23,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
24,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
25,Swollen and eruption on the udder of a cow are symptoms of,Anthrax,Mastitis,Rinderpest,Brucellosis,B
26,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
27,The following crops are sources of carbohydrate EXCEPT,Cabbage,Rice,Potato,Cassava,A
28,Pests cause damages to crop in the following ways EXCEPT, eating up other pest in the farm  , eating up the whole part of plants, boring holes into various part of plants  ,sucking juice from fruits and seeds,A
29,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
