Order,Question,A,B,C,D,answer
1,The stunted group of a leguminous plant suffering from nitrogen deficiency may be corrected by inoculating the soil with,denitrifying bacteria  ,saprophytic bacteria,Rhizobium   ,nitrosomonas,C
2,Throxne and adrenalin are examples of hormones which control,blood grouping,tongue rolling  ,behavioural patterns,colour variation ,C
3,An organism which exhibits extracelluar digestion is  ,Paramecium,Rhizopus  ,Spirogyra  ,Amoeba  ,B
4,The flippers of a whale  and the fins of a fish are examples of,divergent evolution  ,co evolution,continuous variation,convergent evolution,A
5,Mammals are  capable  of producing hypertonic urine mainly because of re-absorption in the  ,urethra  ,loop of henle  ,ureater  ,Bowman’s capsule,B
6,The optimum temperature  for the growth of the organism is,25oC,50oC,75oC   ,100oC,B
7,The increasing order of the particle size in the following soil types  is,clay_silt_sand_gravel  ,Silt_clay-sand_gravel  ,clay_sand_slit_gravel,silt_sand_clay gravel,A
8,Which of the following is likely to have a higher concentration of mitochondria? , Sperm cell, white blood cell  , Egg cell,red blood cell,A
9,A pair of genes that control a trait is referred to as,anallele,recessive,dominant  ,ahybrid,A
10,The basking of Agama lizards in the sun is to,chance the colour of their body  ,raise their body temperature to become active,fight to defend their territories,attract the female for courtship,B
11,The larval stage of a mosquito is called,wriggler  ,Grub  ,maggot  ,Caterpillar,A
12,An example of a sex-linked  trait is the,ability to roll the tongue,possession of facial hair in adult humans  ,ability to grow long hair in females  ,colour of the skin in human,C
13,The population density of Tridax in an abandoned square farmland of side 200m was found to be 5 plants per m2. The population size of the plant on the farm is,40,4000,40000,200000,D
14,Which of the following  is involved1 in secondary  thickening in plants?,collenchyma  and  xylem cells  ,Vascular cambium and collenchyma’s cells  ,vascular cambium and cork cambium,Cork cambium and sclerenchyma,C
15,The part of the alimentary system of a bird where food is  ground into small particles is the,cloaca  ,stomach  ,crop  ,gizzard,D
16,The organ situated in the pericardial cavity of a mammal is the,stomach  ,Liver  ,Liver,spleen,C
17,In which of the following species is the biomass of an individual the smallest?,Agama sp  ,Bufo sp,spirogyra sp   ,Tilapia sp,C
18,A yellow maize is planted and all the fruits obtained are of yellow seeds. When they are cross bred  yellow seeds and white seeds are obtained in a ratio 3:1. The yellow seed is said to be  ,non heritable,sex linked,a recessive trait  ,a dominant trait,D
19,Organisms I  II  III and IV have surface volume ratios  of 1:2  1:3  1:4  1:5  respectively. The organism that is likely to have the most complex transport system is,IV,III  ,I  ,II,A
20,The feature  that links birds to reptiles in evolution is the possession of  ,feathers  ,beak  ,skeleton,scales,D
21,In which of the following Nigerian states can montane vegetation be found?,Plateau,Taraba  ,Enugu  ,Bauchi,A
22,The causative reagent of typhoid fever is  ,Entamoeba,Salmonella,Shigella  ,Escherichia,B
23,Radial symmetry is a feature common to the  ,platyhelminthes,nematodes  ,coelentrates,arthropods,C
24,Habitats are generally classified into  ,aquatic and terrestrial,arboreal  and marine biomes,microhabitats and macro habitats,biotic and abiotic,A
25,Hydrostatic skeleton is the type of supporting system found in,Mammals  ,reptiles  ,oligochaetes   ,arthropods,C
