Order,Question,A,B,C,D,answer
1,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
2,If you want to be self employed, you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight, in your neighborhood ,A
3,If you want to be self employed, you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight, in your neighborhood ,A
4,__________ is the movement of people and product from one place to another,transportation,insurance ,banking,warehousing ,A
5,Which of the following best gives the meaning of entrepreneurship  _________,innovation in business     ,an undertaking ,introduction  of new product and services into the market,the art of organizing and owning a business taking with it all the financial risks with hope of making profit,D
6,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
7,A place where valuable things and money are kept is called__________,bank,safe ,cabinet ,warehouse ,A
8,Accounting entries has ___________ halves,10,2,4,3,B
9,______ is an example of wants,oxygen,water ,food ,music ,D
10,The full meaning of TAP is,Transparency, Accountability and Probity,Trust Assessment Point,Transparency Accountability Policy,Tap Assurance Policy,A
11,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
12,__________ involves storing of goods in a safe place until they are needed,commerce,Advertising,transport,warehousing,D
13,The other name for the purchases journal is   ______,general day book ,purchases day book,returns inwards book,sales day book,B
14,Which of the following comes under the classification of personal account?,real account,nominal account,expenses,debtors ,B
15,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
16,_______ is the person that buys goods for the purpose of not reselling the goods but for consumption,retailer,wholesaler,consumer ,producer,C
17,______ is an example of wants,oxygen,water ,food ,music ,D
18,The other name for the purchases journal is   ______,general day book ,purchases day book,returns inwards book,sales day book,B
19,The art of keeping account in a regular and systematic manner is called,accountancy,book – keeping,accounting,capital,B
20,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
21,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
22,How many forms of business organization do we have,1,2,5,4,C
23,The ledger account can be classified into how many?,5,2,6,4 ,B
24,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
25,The simplest form of business organization is called,cooperative society,partnership,sole proprietorship,marketing,C
26,The reward of an entrepreneur is_____,interest,wages,expenses  ,profit ,D
