Order,Question,A,B,C,D,answer
1,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
2,Capital is ____________,anything of value owned by a business,the amount owed by a business,the money invested in a business,all goods sold by a business,C
3,The left hand side of a ledger account is called the __________,debit side,credit side, profit side,folio side,A
4,__________ is the movement of people and product from one place to another,transportation,insurance ,banking,warehousing ,A
5,The purpose of the purchases journal is to provide one of the following   ______,evidence of sales,evidence of overcharging,record of all the goods a business has purchased on credit,date of sales,C
6,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
7,The keyboard is an ___________,saving device,input device,output device,outdoor device    ,B
8,The subject in which students are taught how to type is called,keyboarding, typesetting,typewriting,typing pool,C
9,Having a vision can be described as,having good eyes sight,identify opportunities others cannot see,being able to predict the future,going about with a cane ,C
10,The simplest form of business organization is called,cooperative society,partnership,sole proprietorship,marketing,C
11,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
12,If you want to be self employed  you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight  in your neighborhood ,A
13,The other name for the purchases journal is   ______,general day book ,purchases day book,returns inwards book,sales day book,B
14,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
15,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
16,Buying and selling of goods between Nigeria and china is known as _______ trade,wholesale,export  	,foreign,retail  ,C
17,Which of the following comes under the classification of personal account?,real account,nominal account,expenses,debtors ,B
18,Having a vision can be described as,having good eyes sight,identify opportunities others cannot see,being able to predict the future,going about with a cane ,C
19,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
20,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
21,In double entry book-keeping  the two aspects of a transaction are _________,buying and giving,debit and giving,buying and selling,giving and receiving ,D
22,Things that are essential for a person to function effectively is known as,balance diet,want,need,product,A
23,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
24,How many forms of business organization do we have,1,2,5,4,C
25,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
26,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
27,Which of the following is not a book of accounts _________,directory,journal,petty cash book,cash book,A
28,Capital is ____________,anything of value owned by a business,the amount owed by a business,the money invested in a business,all goods sold by a business,C
29,In double entry book-keeping  the two aspects of a transaction are _________,buying and giving,debit and giving,buying and selling,giving and receiving ,D
30,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
31,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
32,Fair play means ______,play against the rules,playing according to rules and orders ,playing a game ,cheating and laughing,B
33,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
34,The full meaning of TAP is,Transparency  Accountability and Probity,Trust Assessment Point,Transparency Accountability Policy,Tap Assurance Policy,A
35,The reward of an entrepreneur is_____,interest,wages,expenses  ,profit ,D
36,Which of the following comes under the classification of personal account?,real account,nominal account,expenses,debtors ,B
