Order,Question,A,B,C,D,answer
1,“Dress yourself and put on your sandals”. Obedience to this instruction led to ,an angel’s destruction of Herod ,Peter’s arrest and imprisonment ,Peter’s release from prison ,the disciples’escape from Herod,C
2,What specific reply did John the Baptist give to the soldiers during his preaching ,collect no more than is appointed you ,do not begin to say to yourselves: we have Abraham as our father ,bear fruits that befit repentance ,be content with your wages,D
3,When Ezekiel ate the scroll that was given to him his call. it signified that,God would always go before him,his sins were forgiven,he would never be hungry,he was filled with God’s word,D
4,How old was Abram when God appeared to him the second time? ,75 years         ,85 years        ,99 years      ,105 years,C
5,The promise to those who are persecuted for righteousness sake is that they will,inherit the earth,inherit the kingdom of heaven,see God,be called sons of God.,B
6,Nehemiah showed concern for this nation by,reviving Yahweh worship,rebuilding the temple,reconstructing Jerusalem walls,leading exiles home,C
7,Philip’s flight into Samaria was necesitated by ,the need to convert the Samarians. ,directive from the Holy Spirit. ,persecution of Christians by Saul.,the stoning of Stephen,C
8,The lost sheep and the lost coin share the following except that ,both of them are lost and need to be found ,it is their owners’ responsibility to look for them. ,the coin  may not know that it is lost,their owners rejoice when they are found.,A
9,Who do people say the son of man is? Jesus asks this question to know people’s ,desires ,demand  ,mind ,opinion,C
10,When Ezekiel ate the scroll that was given to him his call. it signified that,God would always go before him,his sins were forgiven,he would never be hungry,he was filled with God’s word,D
11,Peter admonished Christians to be sober and watchful in order to a void,temptation,God’s wrath,the devourer,damnation,A
12,Paul in Romans advised believers to respect those in authority to avoid God’s wrath and also for the sake of,conscience,Christ,faith,others,A
13,“As each has received a gift  employ it for one another  as good stewards of God’s varied grace...” In the statement above  Peter teaches believers in virtue of,hospitality,giving,communion,fellowship.,A
14,“Your father made our yoke heavy. Now therefore  lighten the hard service of your father.” These were the words of,Jeroboam,Solomon,.         
David,Ahijah.,A
15,Before their first encounter with Jesus  Peter and Andrew were,preachers.,tax collectors.,fishermen.,tent makers.,C
16,“...but should write to them to abstain from the pollutions of idols and from unchastity and from what is strangled and from blood...” The statement above was made at the Council of Jerusalem by,Philip,Simon,James,Peter,D
17,The lost sheep and the lost coin share the following except that ,both of them are lost and need to be found ,it is their owners’ responsibility to look for them. ,the coin  may not know that it is lost,their owners rejoice when they are found.,A
18,Peter admonished church leaders to take care of the flock of Christ in order to,restrain men from degrading the church ,obtain God’s crown of glory ,build a vibrant church ,ensure discipline in the church,B
19,Where did Paul cure a slave girl who had a spirit of divination ,Philippi ,Ephesus ,Athens ,Antioch,A
20,The promise to those who are persecuted for righteousness sake is that they will,inherit the earth,inherit the kingdom of heaven,see God,be called sons of God.,B
21,Paul  in Romans  taught that Christians are Abraham’s descendants by,grace,faith,circumcision,law,B
22,The death of Adonibezek in Bezek was a typical proof of ,cowardice ,nemesis ,insanity ,absurdity,B
23,According to Peter  doing the right thing is a way of expressing,our rights.,our freedom.,faith in Christ.,dislike for evil,C
24,Let his habitation be made desolate  and let there be no one to live in it’ who is being referred to here?  ,King soul ,Judas Iscariot ,Stephen ,Barnabas ,B
25,Apart from the miracles at the wedding feast  another miracle of Jesus at Cana in Galilee was,feeding the four thousand.,healing the noble man’s son.,healing of a man born blind,healing a paralytic man.,D
26,The Pharisees and the Scribes accused the disciples of Jesus transgressing the tradition of the elders because they ,did not regard synagogue rules ,did not pray before meals ,ate with unwashed hands ,disobeyed the elders,C
27,How old was Abram when God appeared to him the second time?,105 years,75 years,99 years,85 years,C
28,The descent of the Holy Spirit on the day of  Pentecost was prophesied by ,Amos.           ,Joel.              , David,Ezekiel. ,B
29,The promise to those who are persecuted for righteousness sake is that they will,inherit the earth,inherit the kingdom of heaven,see God,be called sons of God.,B
30,“The Lord forbid that I should give you the inheritance of my fathers”. The inheritance referred to here is,birth right.,the world.,the kingship.,a vineyard.,D
31,Isaiah said that when Israel spread forth their hands  God would hide his face because they were,making many prayers,offering vain sacrifices.,worshipping God with their hearts.,observing elaborate feasts.,B
32,In Philippians  Paul taught that Jesus’humility and death on the cross earned Him ,salvation for Israel. ,adoption as son of Go ,exaltation as Lord,eternal life in the kingdom,C
33,Philip’s flight into Samaria was necesitated by ,the need to convert the Samarians. ,directive from the Holy Spirit. ,persecution of Christians by Saul.,the stoning of Stephen,C
34,On matters of parental responsibility  Samuel could not be commended because he,made his children judges instead of priests.,wanted his children to succeed him.,did nothing to stop his children’s immoral behaviours.,did not care what happened to Israel after his death.,C
