Order,Question,A,B,C,D,answer
1,The state ministers are manned by state commissioners who report to the __________,president,local government chairman,governor,none of the above,C
2,A consumer must speak out and take action so as not to be ________,elevated,exploited,praised,victorious,B
3,Taking care of a school environment is _____,an aspect of discipline,what school authorities demand of pupils ,a good opportunity to show lack of home training,an aspect of careless activity,A
4,Discipline means  ____________,respect for legal authority ,attitude of doing the right thing at the right time ,exercise of patience,ability to retard one’s integrity,B
5,The importance of the “Rule of law” in the society is that it enables the society to,be educated,be orderly and perform properly,choose leaders,have more educated lawyers ,B
6,The arms of government are judiciary, legislature and ____________,senate,house of representative ,president ,executive,D
7,Alhaji Shehu Shagari became the first executive president of Nigeria under the platform of ___________,Action Group,National party of Nigeria,Nigeria Advanced party,Nigeria people’s party   ,B
8,A sense of strong moral standard, about life and situation is known as____________,goodness,integrity,fairness,self-dependence,B
9,Various products at competitive prices make buyers to _________,shy away from buying anything,have choices  ,complain of too many products ,become sales persons,B
10,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
11,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
12,Absence of contentment can lead to  _____,humility,corruption,legitimacy,greatness ,B
13,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
14,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
15,The primary duty of government is to ____________,conduct elections,protect lives and properties,jail offenders,obtain foreign loans ,B
16,The national assembly in Nigeria comprises ______ and _____ chamber,chief, emirs,common, lord,lower, upper,senate, representatives,C
17,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
18,Which of the following agencies is not concerned with fighting corruption in Nigeria,SSS	,EFCC ,NGO,ICPC,C
19,A disciplined child is a ____ in his or her society,great wealth,priceless gem,reject,princess,B
20,The body responsible for conducting election in Nigeria is,FEDCO,NEC ,NECON,INEC,D
21,The process of counting citizens of a country officially is called ____________,census,numbering,by election ,referendum ,A
22,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
23,Which of the following agencies is not concerned with fighting corruption in Nigeria,SSS	,EFCC ,NGO,ICPC,C
24,One of the characteristics of a federation is    ____________,the separation of power,no constitution,no division of government power,all of the above ,A
25,The process of counting citizens of a country officially is called ____________,census,numbering,by election ,referendum ,A
