Order,Question,A,B,C,D,answer
1,Which of the following is used for temporary storage of data on a computer?,RAM.,ROM.,floppy disk.,flash disk.,A
2,Proper disposal of waste by business firms is one way of discharging their,responsibility to government,environmental responsibility,community responsibility,responsibility to customers.,B
3,The type of letters that are delivered through the normal mail or by airmail express service is referred to as ,Inland letters ,registered letters,airmail letters,express letters,C
4,The first known legislation to protect consumer rights in Nigeria is the,Usury Laws,Hire Purchase Act,Sale of Goods Act,Food and Drugs Act.,C
5,Given: I. shoe marker    II. Policeman     III. Fisherman    IV. Gardener    V. Broker .    The persons engaged in primary occupation are 
,I  III and IV ,III and IV,III and V,I   II and V,B
6,If the rate of turnover of a company in 1999 was 4 times while the average stock was N49  600  determine the turnover.,N199  400,N198  400,N100  200,N99  200,B
7,Products that have stayed long on themselves in a shop can be sold easily through,branding,discounting,doorstep selling,franchising,B
8,One of the major functions of a chamber of commerce is to,promote and protect trade  industry and agriculture,advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodicals desired by members.,A
9,The wealth of a nation depend on the volume of its,bilateral trade activities,commercial activities,multilateral trade activities,stock market,B
10,Goods are  of merchantable  quality if they,conform to description  ,are of equal weight,are of the same quality ,conform to buyers' purpose,A
11,A counter-offer in a contract is regarded as,an acceptance,an invitation to treat,a rejection,a consideration,C
12,Gilt-edged securities are issued mainly by ,individuals ,non-governmental organizations,government ,multi-national companies ,C
13,A communication process providing information for decision-making in an organization is the ,Management Information System,Transmission Control Protocol ,Information Retrieval System ,File Transfer Protocol.,C
14,A source of short-term finance to companies is,share capital,debentures,retained earnings,corporate tax,C
15,The sustainable growth of commerce is largely due to ,marketing   ,advertising,exchange ,branding.,C
16,The instrument used in the capital market is ,treasury bill ,bill of exchange ,stock ,debenture ,C
17,The transformation of cotton into clothing is an example of,secondary production,tertiary production,primary production,direct production,A
18,The following are merits of industrial integration  EXCEPT,controlling output and price,eliminating waste,leading to monopoly,preventing over production,C
19,The main difference between nationalization and indigenization is in terms of,shareholding,profit,technology,efficiency.,B
20,A shop which consists of many stores trading under a single roof and which stocks varieties of gods with each unit having its own head is a ,multiple shop  ,supermarket ,superstore,departmental store.,D
21,The  lumbering of trees by a furniture company is an example of,primary production,secondary production,tertiary production,Indirect production,A
22,An important principle of a good organizational structure is,ideal standard,span of control,clarity of mission,adequacy of resources.,B
23,Which of the following is a characteristic of a bearer cheque? ,it is made with transverse lines ,it is made payable to whoever presents it,It is made without teraservers lines,it is only payable into the payee’s account ,B
