Order,Question,A,B,C,D,answer
1,The following are examples of economic goods except,bottled water,air,household utensils,shelter,B
2,One of the functions of commercial banks is,maintaining stable price in the economy,granting loans to customers,regulating monetary policies,issuing bank notes and coins,B
3,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
4,Marginal cost can be derived from the,total product,total revenue,total cost,average fixed cost,D
5,The reward for labour is,wages,profit,rend,dividends,A
6,The sum of items divided by the number of items is the,Frequency,mean,median,mode,B
7,One way to solve the economic problem of inflation in a country is by increasing the,supply of commodities,supply of currency,salaries of workers,demand for commodities.,A
8,A non-bank financial intermediary which is regarded as a pool of risks is the,cooperative society,stock exchange,insurance company,post office,C
9,Where the burden of a tax finally rest is called,tax object,tax rate,incidence of taxation,system of taxation.,C
10,A firm enjoying economics of scale is said to be,reducing average cost as production increases,maximizing profits as production increases,benefiting from the activities of other firms,having an upward - sloping average cost curve,A
11,The reason for the law of demand can best be explained in terms of: ,supply ,complementary goods ,the rationing function of price ,diminishing marginal utility.,D
12,Consumers buy more of a commodity at a lower price than at a higher price because,producers like to produce more,in any given situation  people like to buy more,consumers like to show off,with the same amount of money  they will be able to buy more,D
13,The act of selling goods in foreign markets at prices below those charged at home markets is called,exchange,specialization,dumping,exporting,C
14,One reason for the low agricultural production in West African countries is that,agriculture employs the highest percentage of the labour force,too much money is invested in agriculture,farmers lack the finance and technology required,the farms are too large,C
15,Which of the following is an example of invisible item on balance of payments account?,Shipping and aviation , Import and Export ,Merchandise ,Bullion ,A
16,A negative effect of the presence of a large number of middlemen in the distributive network is,greater variety of goods,greater quality of goods,lower price of goods,higher price of goods,D
17,Which of the following is a characteristic of monopoly?,Many sellers,Homogeneous commodity.,A single seller,Perfect knowledge,C
18,in developing countries  governments influence the location of  industries in order to,spread development,encourage entrepreneurs,redistribute wealth,encourage industries to earn high profits,A
19,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
20,The economic Community of West African States (ECOWAS) has been slow in achieving its objectives because of,political instability in member state,the activities of multi-national,inadequate personnel at the secretariat,inadequate international support,A
21,A production possibility curve shows ,how much of the resources of society are used to produce a particular commodity ,the rate of inflation ,the rate of unemployment in the economy ,the various combination of two commodities that can be produced.,D
22,To enhance the competitiveness of domestic agricultural products  there is need to,ban the importation of agricultural products,increase the exportation of agricultural products,improve the quality of domestic agricultural products,increase the output of domestic agricultural products,C
23,If a monopolist is incurring short–run losses  this means that his,selling price is above the short–run marginal cost,selling price is below the short–run marginal cost,average revenue is greater than marginal revenue,average revenue is less than marginal revenue,B
24,Which of the following does not explain why a school principal earns more salary than a school messenger?,Length of training,Demand and Supply,Cost of training,The messenger is a non-teaching staff,B
25,When population is classified according to professions  it is called,geographical distribution of population,age distribution of population,sex distribution of population,occupational distribution of population,D
26,In a capitalist society  production and consumption are regulated by the: ,demand for the commodity ,the government  ,price system  ,private individuals ,C
27,Private and public limited liability companies are not the same because  ,Former is limited to fifty shareholders but not the later  ,both are not legal entities  ,Former is established secretly but latter is located in central places  ,Former is managed by board of directors but latter is managed by board of management.,A
28,Tax incidence is the analysis of  ,How progressive a tax is ,How distorting a tax is ,Who ultimately pays the tax ,How a tax is collected.,C
29,Government can control inflation by,printing more money,reducing the rate of taxes,reducing the level of expenditure,establishing more banks,C
30,In a capitalist society  production and consumption are regulated by the: ,demand for the commodity ,the government  ,price system  ,private individuals ,C
31,Money becomes a very poor store of value in a period of,deflation,depression,recession,inflation,D
32,Which of the following is an advantage of  localization of industry?,Development of subsidiary firms,Creation of parallel markets,Development of slums,Attraction of foreign capital,A
33,in developing countries  governments influence the location of  industries in order to,spread development,encourage entrepreneurs,redistribute wealth,encourage industries to earn high profits,A
34,If tax takes a larger proportion of the income of people with 	lower income  the tax is,progressive,proportional,regressive,ad-valorem,C
35,Assuming the total population is 100 million  the civilian labour force is 50 million and 47 million workers are employed  the unemployment rate is ,3%,6%,7%,5.30%,B
36,The following are examples of economic goods except,bottled water,air,household utensils,shelter,B
37,Which of the following is function of an entrepreneur?,Avoidance of risks,Decision making,Employment control,Organizing unions,B
38,Identify one among the following which is NOT part of the objectives or functions of the African Development Bank (ADB). ,Provision of technical assistance for development projects   ,Provision of funds for the supply and demand of infrastructural facilities  ,Adoption of a common tariff policy for trade and development  ,Provision of fund for agricultural development,C
39,Production takes place when,output is transformed into input,machines replace human effort,input is transformed into output,there is specialization and division of labour,C
40,When population is classified according to professions  it is called,geographical distribution of population,age distribution of population,sex distribution of population,occupational distribution of population,D
41,Tax incidence is the analysis of  ,How progressive a tax is ,How distorting a tax is ,Who ultimately pays the tax ,How a tax is collected.,C
42,If there is an increase in wages and salaries without a corresponding increase in the supply of goods and services  the situation will lead to,a reduction in aggregate demand,inflation,depression,budget surplus,B
43,A commodity is said to be price inelastic if  ,Changes in the quantity purchased of a good is less than proportionate changes in its price  ,Changes in the quantity purchased of a good is proportional to changes in its price  ,Changes in the quantity purchased of a good is more than proportionate changes in its price  ,The quantity purchased of a good never responds to change in its price.,A
44,One major function of the entrepreneur is,bearing of risk,maximizing profits,taking charge of day to day management,determining the selling price of his products,C
45,The market price of a commodity is normally determined by the,law of demand,interaction of the forces of demand and supply.,total number of people in the market,total quantity of the commodity in the market.,B
46,The reward for labour is,wages,profit,rend,dividends,A
47,Assuming the total population is 100 million  the civilian labour force is 50 million and 47 million workers are employed  the unemployment rate is ,3%,6%,7%,5.30%,B
48,Which of the following is not a trade union in Nigeria?,Nigerian Labour Congress,Academic Staff Union of Universities,Nigerian Economic Society,Nigerian Union of Journalists,C
49,Middlemen in a economy perform the function of ,protection ,hoarding ,distribution ,exchange,C
50,The reward for land as a factor of production is,interest,rent,dividend,wages,B
51,West  African   countries  have  low  levels  of  economic 	development due to,underpopulation,inadequate labour,failure to plan,ineffective plan implementation,B
52,A production possibility curve shows ,how much of the resources of society are used to produce a particular commodity ,the rate of inflation ,the rate of unemployment in the economy ,the various combination of two commodities that can be produced.,D
53,A non-bank financial intermediary which is regarded as a pool of risks is the,cooperative society,stock exchange,insurance company,post office,C
54,Production takes place when,output is transformed into input,machines replace human effort,input is transformed into output,there is specialization and division of labour,C
55,If the price of good X rises and the quantity demanded of good Y increases then the two goods X and Y must be,inferior good,substitutes,complements,free goods,B
56,When governments want to discourage consumption  they 	tax goods whose demand,price inelastic,abnormal in nature,price elastic,normal in nature,C
57,Cost push inflation is caused by a,rise in the cost of production,decrease in the transportation cost,rise in demand for goods,decrease in the cost of production,C
58,Which of the following is not true about land?,The supply is fixed,Land is mobile,It is subject to diminishing returns,Land is heterogeneous,B
59,Middlemen in a economy perform the function of ,protection ,hoarding ,distribution ,exchange,C
60,Revenue is the,total profit made after sales,amount spent on purchases,amount of goods produced,total money realized from sales.,D
61,Which of the following correctly defines inflation? ,A one-time increase in commodity prices ,A period when prices increase rapidly,A sustained increase in the overall price level ,An increase in the overall level of business activity,C
62,What happens to a supply curve when the variables that are normally held constant are allowed to changer? ,the curve flattens out,there is a movement along the curve,the curve shifts ,the curve becomes steeper.,C
63,A manufacturer who wants to build a new plant will source funds from the,commercial banks,money market,capital market,government,C
64,The act of selling goods in foreign markets at prices below those charged at home markets is called,exchange,specialization,dumping,exporting,C
65,Which of the following can be deduced from law of variable proportions when total output is rising?,MP is greater than AP,MP is less than AP,MP is equal to AP,MP is equal to zero,D
66,Which of the following tools of economic analysis is used when data contains more than one category?,Bars charts,Component bar charts,Graphs,Symbolical statement,B
67,Which of the following is not a trade union in Nigeria?,Nigerian Labour Congress,Academic Staff Union of Universities,Nigerian Economic Society,Nigerian Union of Journalists,C
68,Which of the following is TRUE of marginal cost? ,it is a cost incurred by the firm on variable inputs ,it is the cost of producing one extra unit of a commodity at any output level ,it is the sum of the fixed cost and variable cost,it is referred to as overhead cost,B
69,If there is an increase in wages and salaries without a corresponding increase in the supply of goods and services  the situation will lead to,a reduction in aggregate demand,inflation,depression,budget surplus,B
70,One good reason for the elimination of middlemen is that they,cause increase in price,help in price stability,grade and blend goods,are too many,A
71,The following are examples of economic goods except,bottled water,air,household utensils,shelter,B
72,If a market for good X is in disequilibrium  which of the following statements is true about the quantity of X that is actually exchanged?  ,It is determined by the forces of demand  ,it is determined by the forces of supply  ,it is determined by both demand and supply forces  ,it is determined by the forces of demand or supply whichever is shorter ,C
73,If the price of good X rises and the quantity demanded of good Y increases then the two goods X and Y must be,inferior good,substitutes,complements,free goods,B
74,The motive for holding money for investing in securities is 	referred to as,transactionary,speculative,accumulation,deflationary,B
75,In economics  the pleasure  happiness  or satisfaction received from a product is called: ,Marginal cost ,Rational outcome ,Status fulfillment ,Utility.,D
76,The reform in the banking sector in Nigeria is principally 	motivated by the need to,increase the capital base of banks,provide more money to run the economy,minimize the rate of bank failures,enhance efficiency in bank operations,A
77,If a market for good X is in disequilibrium  which of the following statements is true about the quantity of X that is actually exchanged?  ,It is determined by the forces of demand  ,it is determined by the forces of supply  ,it is determined by both demand and supply forces  ,it is determined by the forces of demand or supply whichever is shorter ,C
78,A major achievement of  the  Organization  of  Petroleum Exporting Countries (OPEC) is that,crude oil price has increased tremendously,petroleum products prices have remained low,producing countries are highly industrialized,price of crude oil has remained relatively stable.,D
79,Where the burden of a tax finally rest is called,tax object,tax rate,incidence of taxation,system of taxation.,C
80,The supply and demand for goods and service are influenced by the ,Super markets ,Entrepreneurs ,Mechanism of the law ,price mechanism.,D
81,Government can control inflation by,printing more money,reducing the rate of taxes,reducing the level of expenditure,establishing more banks,C
82,The Economic Community of West African State (ECOWAS) is an example of,bilateral trade,economic integration,regional marketing board,international competition,B
83,Which of the following is not a basic assumption underlying the theory of consumer behavior,Consumers prefer more to less ,Consumers are rational,Consumers are willing to make choices ,Consumers make consistent choices,D
84,A drawer of a cheque is the ,person who is to be paid ,bank on which the cheque is drawn ,person who writes out the cheque ,bank official who certifies the payment. ,C
85,Which of the following will be an effect of inflation?,Wages earners will gain,Borrowing of money will be restricted,Money lenders will gain,Borrowers of money will gain,D
86,The Basic Needs Approach to development is directed a,poverty alleviation,provision of educational infrastructure,provision of health services,improvement in worker’s income,A
87,To enhance the competitiveness of domestic agricultural products  there is need to,ban the importation of agricultural products,increase the exportation of agricultural products,improve the quality of domestic agricultural products,increase the output of domestic agricultural products,C
88,West  African   countries  have  low  levels  of  economic 	development due to,underpopulation,inadequate labour,failure to plan,ineffective plan implementation,B
89,Revenue is the,total profit made after sales,amount spent on purchases,amount of goods produced,total money realized from sales.,D
90,The Basic Needs Approach to development is directed a,poverty alleviation,provision of educational infrastructure,provision of health services,improvement in worker’s income,A
91,The reform in the banking sector in Nigeria is principally 	motivated by the need to,increase the capital base of banks,provide more money to run the economy,minimize the rate of bank failures,enhance efficiency in bank operations,A
92,A drawer of a cheque is the ,person who is to be paid ,bank on which the cheque is drawn ,person who writes out the cheque ,bank official who certifies the payment. ,C
93,The difference between the highest and the least marginal,product of the variable factor is    
	3,8,10,12,A
94,A firm enjoying economics of scale is said to be,reducing average cost as production increases,maximizing profits as production increases,benefiting from the activities of other firms,having an upward - sloping average cost curve,A
95,The value of money is generally measured in relation to the,interest rate charged on bank loan,general price level,size of a country’s gold stock,volume of imports,B
96,A non-bank financial intermediary which is regarded as a pool of risks is the,cooperative society,stock exchange,insurance company,post office,C
97,The number of people who are qualified to work and who offer themselves for employment are called,migrant labour,working population,labour turnover,mobility of labour,B
98,Which of the following is not a trade union in Nigeria?,Nigerian Labour Congress,Academic Staff Union of Universities,Nigerian Economic Society,Nigerian Union of Journalists,C
99,At the equilibrium price  quantity demanded is,greater than quantity supplied,equal to quantity supplied,less than quantity supplied,equal to excess supply,B
100,Which of the following is not true about land?,The supply is fixed,Land is mobile,It is subject to diminishing returns,Land is heterogeneous,B
