Order,Question,A,B,C,D,answer
1,Nigeria became a federation of thirty-six states during the era of,Yakubu Gowon,Ibrahim Babangida,Sani Abacha,Abdulsalami Abubakar.,D
2,The agent of political socialization generally regarded as the most important is ,family ,peer group,school ,churches and mosques,A
3,A problem of public corporations in Nigeria is,choice of leadership,public control,emphasis on subsidies,wastage of resources,D
4,The ideology which states that each person is the best judge of what is in his self-interest is,liberalism,socialism,fascism,feudalism,A
5,The upper house in most federal systems is created to,oversee and check the lower house,prevent excesses of the executive,enable experienced elders make inputs to governance,ensure equality of federating units,D
6,Fascism originated from ,Greece ,Italy  ,China  ,Germany,B
7,ECOMOG at the initial stage of its intervention in Liberia was perceived as,neutral,incompetent,partisan,invaders.,D
8,A constitution is classified as unwritten when it,does not emanate from the legislature,provides for separation of powers,originates from Britain,is not contained in any single document,D
9,Which of the following is not an accepted way of resolving international conflict,Diplomacy.,Non-military use of force.,Propaganda,Nuclear war.,D
10,In judicial administration, the term ‘the bench’ refers to the  ,lawyers   ,litigants    ,registrars,judges,D
11,Who among the following was NOT an officer in the pre-colonial Yoruba society?,Aremo,Are-Onakakanfo,Balogun,Oluwo,D
12,In the Marxist theory, those who live by selling, their labour are called ,Bourgeoisie ,Proletariat ,Feudal lords ,Slaves,B
13,One of the distinctive features of democracy is that it,connotes civil rule,facilitates popular,provides for a unicameral legislature,is not associated with one-party system,B
14,The granting of asylum to Charles Taylor by Nigeria was to,protect Nigerians in Liberia,promote peace in Liberia,defy the western powers,Control Liberia,B
15,The head of state under the independence constitution of Nigeria was,an absolute monarch,a constitution monarch,imposed by the British,invested with executive power,B
16,Nigeria commitment to the liberation of Africa could best be seen in her policy towards,Namibia and Mozambique,the Congo and Zimbabwe,Sierra Leone and Chad,South Africa and Angola,D
17,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
18,Decree 34 of 1966 was unacceptable to many Nigerians because it was,promulgated without consultation with the people,perceived to abolish the federal system,considered as alien,seen as an instrument of impoverishment,A
19,Election among candidates from the same party before the final elections are called,Primaries,Running Mates,Second ballots,Party conventions,A
20,The amalgamation of the northern and southern protectorates and the colony of Lagos was in,1960,1966,1914,1957,C
21,In a presidential system of government, ministers are,individually responsible to the president,individually responsible to the senate,collectively responsible to the president,collectively responsible to the electorate,A
