Order,Question,A,B,C,D,answer
1,In a federal constitution  legislative powers that are shared by two levels of government are referred to as,exclusive,extra-ordinary,residual,concurrent.,D
2,Authority is the,ability to compel others to do what they do not want,ability to delegate power to other bodies,ability to rule without fear or favour,capacity to encourage others to do what they intended doing,D
3,Which of the following is not relevant to communism,Democracy,Violent revolution,Friedrich Engels,Private Enterprise.,D
4,A nation is made up of people who share,heterogeneous characteristics.,homogeneous and heterogeneous characteristics.,homogeneous characteristics.,same government only.,A
5,As an executive  the commissioner is charged with the responsibility of,making laws,implementing laws,writing laws,giving loans.,B
6,Free education was introduced in west region by which of these premiers? ,Chief Obafemi Awolowo ,Chief S.L. Akintola  ,Chief Michael Adekunle Ajasin ,Chief Bola Ige,A
7,Government is the machinery established to manage the affairs of,rulers,aliens,the civil service,the state,D
8,In a federal state  power is shared,between the center government and the local authorities,among the state of the federation,among the major regions of the country,between the center government and other co-ordinate units.,D
9,The act of transferring autonomous powers to subordinate agencies is,devolution,concentration,deconcentration,delegation.,A
10,In theory  one major advantage of the one-party systems is that it,promotes greater mass participation in government,serves as an instrument of national integration,guarantees social justice,eliminates intra-party conflict.,B
11,The second military coup data in Nigeria took place on ,15-Jan-66,1-Oct-66,29-Jul-66,13-Feb-76,C
12,The cultural organisation which metamorphosed into 	Northern People’s Congress (NPC) was,Arewa Consultative Forum,Borno Youth Movement,Egbe Omo Oduduwa,Jamiyyar Mutanen Arewa,D
13,In judicial administration  the term ‘the bench’ refers to the  ,lawyers   ,litigants    ,registrars,judges,D
14,The laws which the state legislators make normally pass through,the commissioner,the process of deliberations,the judiciary,some committees in the civil service,B
15,The legislature performs the following functions except ,determines  the general direction of public policies ,investigating and monitoring the activities of the officials of government ,exercises power of appointment of government officials ,enforcing the law,D
16,An example of a country with a flexible constitution is,South Africa,Britain,Benin Republic,the United States of America.,D
17,With which country did Nigeria break diplomatic relations in 1963 for exploding a nuclear device in the Sahara?,The Soviet Union,The U.S.A,China,France,D
18,A constitution is classified as unwritten when it,does not emanate from the legislature,provides for separation of powers,originates from Britain,is not contained in any single document,D
19,A major objective of the Public Complaints Commission is,training and promotion of public servants,settlement of disputes among individuals,addressing the grievances of individuals and groups,fighting corruption and indiscipline.,D
20,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
21,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
22,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
23,A nation is made up of people who share,heterogeneous characteristics.,homogeneous and heterogeneous characteristics.,homogeneous characteristics.,same government only.,A
24,The Universal Negro Improvement Association was founded by  ,Casely Hayford  ,Herber Macauly  ,Marcus Garvey  ,W.E.B. Du Bois,C
25,A constitution is classified as unwritten when it,does not emanate from the legislature,provides for separation of powers,originates from Britain,is not contained in any single document,D
26,Nigeria’s first constitution was the,Lyttleton Constitution,Clifford Constitution,Macpherson constitution,Independence Constitution,B
27,Which of the these was the main organ of the defunct OAU? ,The liberation committee ,The Council of Ministers  ,The commission for Mediation  Conciliation and Arbitration ,the Assembly of Heads of the state and Government.,D
28,A permanent structure that facilitates continuity and guarantees orderly conduct in governance is,bureaucracy,public corporation,ombudsman,political party.,A
29,The following were the consequences of the Nigeria civil war EXCEPT the,creation of more states,disruption of educational and economic activities,general feelings of insecurity,loss of lives and properties,A
30,ECOMOG at the initial stage of its intervention in Liberia was perceived as,neutral,incompetent,partisan,invaders.,D
31,An electoral process in which candidates are selected for elective offices by party members is,Primary election,Electoral College,Bye election,General election,A
32,An order directing a detainee to be brought before the court is called,habeas corpus,an appearance,an injunction,a referendum,A
33,Decree 34 of 1966 was unacceptable to many Nigerians because it was,promulgated without consultation with the people,perceived to abolish the federal system,considered as alien,seen as an instrument of impoverishment,A
34,The Universal Negro Improvement Association was founded by  ,Casely Hayford  ,Herber Macauly  ,Marcus Garvey  ,W.E.B. Du Bois,C
35,Under Nigeria’s Second Republic  the Senate was under the leadership of,John Wash Pam,J. S. Tarka,Joseph Wayas,Godwin Ume-Ezeoke.,C
36,Nigeria does not maintain diplomatic relations with South Africa because of the latter’s,industrial policy,apartheid policy,foreign policy,agricultural policy,B
37,Which of these countries has the highest population in West Africa? ,Mauritania,Ghana ,The Gambia ,Nigeria.,D
38,In many countries  citizenship can be acquired through the following processes except ,nationalization ,naturalization ,registration ,birth,A
39,In a federal constitution  legislative powers that are shared by two levels of government are referred to as,exclusive,extra-ordinary,residual,concurrent.,D
40,In many countries  citizenship can be acquired through the following processes except ,nationalization ,naturalization ,registration ,birth,A
41,The review of Nigeria foreign policy under the Murtala/Obasanjo regime was done by,Udoji Committee,Aboyade Committee,Adedeji Commission,Philips Commission,C
42,The Nigerian Independence Constitution was modified by the,1963 Constitution,1999 Constitution,1989 Constitution,1979 Constitution,A
43,In important advantage of creating more constituents in a federal state is to ,Enhance the people’s participation in government ,Enable ambitions politicians gain political power ,Make the states gain more power from the federal government ,curb the excesses of the federal government,A
44,Election among candidates from the same party before the final elections are called,Primaries,Running Mates,Second ballots,Party conventions,A
45,Who among the following was NOT an officer in the pre-colonial Yoruba society?,Aremo,Are-Onakakanfo,Balogun,Oluwo,D
46,A human community that is usually cohesive and homogeneous is ,state ,kinship,clan,Nation.,D
47,The final stage in the process of enacting legislation is  ,assent  ,final reading  ,notification  ,guillotine  ,A
48,The controversy over the 1979 Presidential election result was,over the dispute on the conduct of the election,because educated Nigerians did not approve who received the number of votes,due to the interpretation of ¼   of the vote cast in 2/3 of all the states in the Federation.,because the winning candidate did not pay his taxes as and when due in the past three years.,C
49,As an executive  the commissioner is charged with the responsibility of,making laws,implementing laws,writing laws,giving loans.,B
50,Election among candidates from the same party before the final elections are called,Primaries,Running Mates,Second ballots,Party conventions,A
51,The first military intervention in Nigeria politics was in,1960,1962.,1963,1966,D
52,One of the distinctive features of democracy is that it,connotes civil rule,facilitates popular,provides for a unicameral legislature,is not associated with one-party system,B
53,One of the functions of pressure groups is to,contest elections to serve the people,nominate the president,prepare the budget,articulate the opinion of their members.,D
54,In a presidential system of government  ministers are,individually responsible to the president,individually responsible to the senate,collectively responsible to the president,collectively responsible to the electorate,A
55,The international organization formed after the Second World War to guarantee international peace and security is the,World Bank,United Nations Organization,League of Nations,British Commonwealth of Nations,B
56,The amalgamation of the northern and southern protectorates and the colony of Lagos was in,1960,1966,1914,1957,C
57,Which of the these was the main organ of the defunct OAU? ,The liberation committee ,The Council of Ministers  ,The commission for Mediation  Conciliation and Arbitration ,the Assembly of Heads of the state and Government.,D
58,The term  Rule of Law means,nobody is above the law,everybody is equal before the law,we are being governed by lawyers,A and B above,D
59,The act of transferring autonomous powers to subordinate agencies is,devolution,concentration,deconcentration,delegation.,A
60,Nation-state is synonymous with,liberation,sovereignty,nationalism,self-actualization,B
61,Citizenship of a state by descent requires that,one is born and bred in the state,one’s mother was born in the state,one’s grandparents were citizens of that state,one is domiciled in that state,A
62,How many countries are in Africa? ,fifteen ,fifty-three ,fifty,fifty-five,B
63,One of the strong points of the multi-party system in Nigeria’s Fourth Republic is,government interference,wider political participation,wider anti-democracy campaign,the provision for a bicameral legislature.,B
64,The amalgamation of the northern and southern protectorates and the colony of Lagos was in,1960,1966,1914,1957,C
65,The granting of asylum to Charles Taylor by Nigeria was to,protect Nigerians in Liberia,promote peace in Liberia,defy the western powers,Control Liberia,B
66,Local government reforms were carried out by the Federal Military Government in,1966,1967,1970,1976,D
67,Prior to the formation of the OAU in 1963  Nigeria Identified with the,Brazzaville Group,Casablanca group,Libreville Group,Monrovia Group,A
68,How does the president relieve a minister of his appointment in a presidential system of government?,In consultation with the legislature,In consultation with the judiciary  ,by executive action,after serving a full tenure,C
69,The controversy over the 1979 Presidential election result was,over the dispute on the conduct of the election,because educated Nigerians did not approve who received the number of votes,due to the interpretation of ¼   of the vote cast in 2/3 of all the states in the Federation.,because the winning candidate did not pay his taxes as and when due in the past three years.,C
70,Which of the following is not a function of the Secretary-General of the United Nations Organization?,Supervising the Secretariat,Interpreting the treaties,Alerting the Security Council on any matter that may threaten international peace,Making annual report,B
71,Under the 1963 Republican Constitution  the president exercised ,Judicial powers ,executive powers ,nominal powers ,concurrent powers.,C
72,The review of Nigeria foreign policy under the Murtala/Obasanjo regime was done by,Udoji Committee,Aboyade Committee,Adedeji Commission,Philips Commission,C
73,Which of the following is not a function of the Secretary-General of the United Nations Organization?,Supervising the Secretariat,Interpreting the treaties,Alerting the Security Council on any matter that may threaten international peace,Making annual report,B
74,The African leader mostly credited for spearheading the formation of the African Union is,Muammar Ghaddafi,Abdelaziz Bouteflika,Abdoulaye Wade,Thabo Mbeki.,A
75,In a modern democracy  the ultimate source of sovereignty is the ,legislature and executive ,judiciary ,ruling political party ,people,D
76,Bicameral legislature exists ,where two cameras are used to monitor court proceedings ,To prevent the concentration of power on legislative house ,To provide jobs for more politicians ,to ensure that just laws are passed.,D
77,One of the functions of pressure groups is to,contest elections to serve the people,nominate the president,prepare the budget,articulate the opinion of their members.,D
78,The following were the consequences of the Nigeria civil war EXCEPT the,creation of more states,disruption of educational and economic activities,general feelings of insecurity,loss of lives and properties,A
79,An order directing a detainee to be brought before the court is called,habeas corpus,an appearance,an injunction,a referendum,A
80,The court that has ultimate power to interprets the constitution is the,Supreme Court,Magistrate Court,High Court,Court of Appeal,A
81,Nigeria’s first constitution was the,Lyttleton Constitution,Clifford Constitution,Macpherson constitution,Independence Constitution,B
82,How many countries are in Africa? ,fifteen ,fifty-three ,fifty,fifty-five,B
83,Government is the machinery established to manage the affairs of,rulers,aliens,the civil service,the state,D
84,Citizenship refers to the,legal status of a member of a state,indigenous member of a state,highest position in a state,social status of a person in a state,B
85,The African leader mostly credited for spearheading the formation of the African Union is,Muammar Ghaddafi,Abdelaziz Bouteflika,Abdoulaye Wade,Thabo Mbeki.,A
86,Which of the following is not an accepted way of resolving international conflict,Diplomacy.,Non-military use of force.,Propaganda,Nuclear war.,D
87,The review of Nigeria foreign policy under the Murtala/Obasanjo regime was done by,Udoji Committee,Aboyade Committee,Adedeji Commission,Philips Commission,C
88,In politics  power is all of the following except ,capacity to affect the actions of others ,ability to make people do things they otherwise not do ,an object ,it is part of a relationship ,C
89,The most important aspect of political participation in a democracy is  ,attending political rallies  ,voting in elections  ,registration with a political party  ,the observance of electoral processes ,B
90,The motion for self-government in Nigeria was proposed by Chief Anthony Enahoro in,1956,1953,1956,1958,B
91,The ideology which states that each person is the best judge of what is in his self-interest is,liberalism,socialism,fascism,feudalism,A
92,The head of state under the independence constitution of Nigeria was,an absolute monarch,a constitution monarch,imposed by the British,invested with executive power,B
93,In important advantage of creating more constituents in a federal state is to ,Enhance the people’s participation in government ,Enable ambitions politicians gain political power ,Make the states gain more power from the federal government ,curb the excesses of the federal government,A
94,In a democracy  sovereignty is vested in ,The community ,Public officials ,judges  ,the head of state ,A
95,A major objective of the Public Complaints Commission is,training and promotion of public servants,settlement of disputes among individuals,addressing the grievances of individuals and groups,fighting corruption and indiscipline.,D
96,In a federal constitution  legislative powers that are shared by two levels of government are referred to as ,exclusive ,extra-ordinary  ,residual  ,concurrent,D
97,In judicial administration  the term ‘the bench’ refers to the  ,lawyers   ,litigants    ,registrars,judges,D
98,Who among the following was NOT an officer in the pre-colonial Yoruba society?,Aremo,Are-Onakakanfo,Balogun,Oluwo,D
99,Nigeria broke diplomatic relations with France in 1961 because of:,her poor relations with the francophone countries,General de-Gaulle’s negative attitude towards her,France’s diplomatic relations with Israel,France’s atomic test in the Sahara Desert,D
100,Which of these countries has the highest population in West Africa? ,Mauritania,Ghana ,The Gambia ,Nigeria.,D
