Order,Question,A,B,C,D,answer
1,The Sokoto Jihad led to the formation of Islamic States in following States except  ,Senegal  ,Mali  ,Chad  ,Togo ,D
2,In the Hausa/Fulani traditional political system jingali was  ,one of the sources of revenue to cattle owners  ,tax paid on cattle  ,a property tax paid to land owners ,a type of flat rate tax ,B
3,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
4,Songhai Empire fell in... ,1591,1691,1791,1891,A
5,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
6,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
7,The introduction of indirect rule in eastern Nigeria led to the Aba Women Riots of  ,1914,1929,1935,1916,B
8,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
9,The use of forced labour was one of the features of  ,British colonial policy  ,French colonial policy  ,American colonial policy  ,divide and rule ,B
10,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
11,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
12,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
13,Yoruba inter-state wars lasted for  ,16 years  ,10 years  ,100 years  ,50 years ,C
14,The 1804 Jihad in Northern Nigeria could be referred to all except  ,Sokoto Jihad  ,Uthman Dan Fodiyo Jihad  ,Fulani Jihad  ,Seku Ahmadu Jihad ,D
15,Galadima in the emirate refers to  ,a village head  ,the office in charge of the army  ,the administrator of the capital city  ,a judge ,C
16,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
17,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
18,An acephalous pre-colonial system is best represented by the  ,Oyo Empire  ,Igbo political organisation  ,Ijaw political organisation  ,Benin Empire ,B
19,Geographically  Nigeria lies between latitudes  ,40 and 140  ,4 and 100   ,140 and 4  ,all of the above ,A
20,In the traditional Hausa-Fulani political system  political authority was vested in the  ,Emir  ,Talakawa  ,Alkali ,Emirate Council ,A
21,In the pre-colonial Igbo political system  which of the following was the most democratic organ of government,The Umand ,Eze  ,Isu  ,Ohanaeze,D
22,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
23,Galadima in the emirate refers to  ,a village head  ,the office in charge of the army  ,the administrator of the capital city  ,a judge ,C
24,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
25,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
26,A historical feature of the legislative council that met in 1923 was that for the first time it  ,included the official members who were Nigerians  ,included only British officials  ,included elected African members ,acted in a deliberative capacity  ,D
27,In the Hausa/Fulani traditional political system jingali was  ,one of the sources of revenue to cattle owners  ,tax paid on cattle  ,a property tax paid to land owners ,a type of flat rate tax ,B
28,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
29,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
30,The Colonial Administration in Nigeria was  ,Authoritarian,Democratic  ,A&B  ,None of the above ,A
31,In the Oyo traditional political system  the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
32,In the pre-colonial Igbo political system  which of the following was the most democratic organ of government,The Umand ,Eze  ,Isu  ,Ohanaeze,D
33,The use of forced labour was one of the features of  ,British colonial policy  ,French colonial policy  ,American colonial policy  ,divide and rule ,B
34,In the pre-colonial Igbo political system  which of the following was the most democratic organ of government,The Umand ,Eze  ,Isu  ,Ohanaeze,D
35,The 1804 Jihad in Northern Nigeria could be referred to all except  ,Sokoto Jihad  ,Uthman Dan Fodiyo Jihad  ,Fulani Jihad  ,Seku Ahmadu Jihad ,D
36,The Colonial Administration in Nigeria was  ,Authoritarian,Democratic  ,A&B  ,None of the above ,A
37,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
38,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
39,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
40,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
