Order,Question,A,B,C,D,answer
1,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
2,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
3,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
4,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
5,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
6,The Ogboni Cult in the pre-colonial Yoruba political system played the role of the  ,judiciary  ,executive  ,police  ,legislation ,A
7,The first independence day speech in Nigeria was given by??.,Muhammadu Buhari,Obafemi Awolowo,Tafawa Balewa,Nnamdi Azikwe,C
8,A historical feature of the legislative council that met in 1923 was that for the first time it  ,included the official members who were Nigerians  ,included only British officials  ,included elected African members ,acted in a deliberative capacity  ,D
9,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
10,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
11,Be li   Af i a   o fe e e took pla e et ee  ,1884 and 1885  ,1885 and 1886  ,1886 and 1887  ,1883 and 1884 ,A
12,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
13,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
14,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
15,In the Oyo traditional political system, the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
16,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
17,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
18,Ali Ghaji s  eig  e ded i  Ka e  Bo o in  ,1501,1502,1503,1504,D
19,The 1804 Jihad in Northern Nigeria could be referred to all except  ,Sokoto Jihad  ,Uthman Dan Fodiyo Jihad  ,Fulani Jihad  ,Seku Ahmadu Jihad ,D
20,In the pre-colonial Yoruba society, the power of the Oyo Mesi were checked by  ,Baale  ,Ogboni  ,Are Ona Kankafo  ,Bashorun ,D
21,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
22,In the Oyo empire, the Alaafin was ,an absolute monarch  ,popularly elected  ,a constitutional  monarch ,worshipped as deity ,A
23,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
24,All of the following are renowned historians except  ,Prof Ade Ajayi ,Prof Toyin Falola  ,Prof Obaro Ikime  ,Prof Akin Oyebade ,D
25,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
26,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
27,Which of the following titles among the Igbos in the pre-colonial era required substantial wealth before one could acquire it?,Obi  ,Eze  ,Ozo  ,Ofo ,C
28,Samori Toure was captured in 1893 by  ,French imperialism  ,British imperialism  ,Germany imperialist  ,none of the above ,A
29,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
30,The Yoruba, Edo, Nupe, and Ibo languages are classified as belonging to the  ,Arabic  ,Kwa-sub group  ,Kaw sub group  ,Kai sub group ,B
31,In the Oyo traditional political system, the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
32,The use of forced labour was one of the features of  ,British colonial policy  ,French colonial policy  ,American colonial policy  ,divide and rule ,B
33,The Ekitiparapo war lasted for  ,10 years  ,16 years  ,100years,50 years ,B
34,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
35,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
