Order,Question,A,B,C,D,answer
1,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
2,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
3,If Alhaji Musa Ayuba invested N10, 000: 00 in a business and made a profit of N2, 000: 00 at the,N215.00,N100: 00  ,N50:00  ,N1000:00 ,C
4,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
5,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
6,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
7,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
8,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
9,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
10,The main message of ayay Amanar-Rasul is  ,the significance of knowledge  ,the articles of faith  ,the pillars of Islam  ,payment of Zakat ,B
11,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
12,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
13,The main message of ayay Amanar-Rasul is  ,the significance of knowledge  ,the articles of faith  ,the pillars of Islam  ,payment of Zakat ,B
14,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
15,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
16,According to Islamic traditions, inability to marriage may rise as a consequence of   ,defects in sex organs  ,permanent illness  ,impotence  ,all of the above  ,D
17,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
18,The i itial suggestio  to o pile the Qu a   as aised   ,A u Bak  ,Umar B. Khattab  ,Zaid B. Thabit  ,Uthman B. Affan  ,B
19,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
20,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
21,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
22,According to Islamic traditions, inability to marriage may rise as a consequence of   ,defects in sex organs  ,permanent illness  ,impotence  ,all of the above  ,D
23,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
24,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
25,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
26,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
27,According to Islamic traditions, inability to marriage may rise as a consequence of   ,defects in sex organs  ,permanent illness  ,impotence  ,all of the above  ,D
28,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
29,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
30,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
31,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
32,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
33,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
34,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
35,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
36,The main message of ayay Amanar-Rasul is  ,the significance of knowledge  ,the articles of faith  ,the pillars of Islam  ,payment of Zakat ,B
37,?eek k o ledge, e e  u to Chi a   ea s ____ ,go to China to seek knowledge  ,knowledge is found in China  ,go at any length to seek knowledge  ,knowledge must be sought in china   ,C
38,The i itial suggestio  to o pile the Qu a   as aised   ,A u Bak  ,Umar B. Khattab  ,Zaid B. Thabit  ,Uthman B. Affan  ,B
39,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
40,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
41,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
42,If Alhaji Musa Ayuba invested N10, 000: 00 in a business and made a profit of N2, 000: 00 at the,N215.00,N100: 00  ,N50:00  ,N1000:00 ,C
43,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
44,Which one of the following is not associated with shirk _____ ,idol worship  ,trinity  ,monotheism  ,henotheism ,C
45,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
46,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
47,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
