Order,Question,A,B,C,D,answer
1,In Leopold Sedar Senghor's "I will pronounce Your Name" Naeth represents ,Africa ,Senegal ,the poet's mother ,the poet's lover.,B
2,In Marvel’s “To His Coy Mistress”  the poet-persona tries to,Build up the climax of expectation of women,discuss how a woman labour hard,meet the people’s expectation in a religious adventure,discuss the nature of man and the value of time.,D
3,A port's use of regular rhythm is know as ,Metre,Assonance,Allegory,Onomatopoeia,A
4,Winston Smith begins his rebellion against the power of the state by ,educating the youth  ,keeping a private diary  ,purchasing arms ,disobeying Big Brother.,B
5,In China  according to D.H. Lawrence  bats are symbols of: ,death  ,birth ,caution ,joy,D
6,Maanan expresses dislike for Lawyer B because of,his condemnation of  her choice career,his recent advances towards her,the betrayal of her father’s trust,the betrayal of his wife’s trust,C
7,The persona in the poem <em>Give Me The Minstrel’s Seat</em> discourages,togetherness,hatred,isolation,poverty.,C
8,A reference beyond the immediate purview of what is being presented is known as,allusion,diversion,inversion,imagery,A
9,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D
10,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
11,Life  though a vanity Yet  not purposeful In drawling<br> resignation Life’s spice is in strive<br> From the extract above  the poet suggests that,life is full of care,there can’t be life without strive,life is worthwhile without care,strive makes life worth living.,B
12,An expression that signifies a whole through its significant parts is,synesthesia,synecdoche,metonymy,allegory,B
13,Caliph: "You have spoken well. I agree with the Waziri' s suggestion. You shall be organize your men and build in new well in the market. “That is our judgement". What informed this statement? ,Waziri fight with the white man ,Waziri's disagreement with Sarkin Zango ,the dispute between Caliph Attahiru and Prince Muhammed al-Tahir  ,the dispute between Sarkin Zango and Sarkin Fatake.,D
14,Who responded to the speech?,Lago,Cassio,Othello,Lodovico,B
15,In a tragedy  the moment when the protagonist suffers a reversal of fortune is know as ,eatharsis ,exposition ,enagnonsis ,peripeteia ,D
16,The person being addressed above is a,soldier,student,domestic servant,lawyer,C
17,‘O” serpent heart  hid with a flowering face!’ The statement refers to,Juliet,Romeo,Tybalt,Benvolio,B
18,The “advocate” and the “impostor” are,conspirators,enemies,suspicious of each other,attracted to each other,D
19,A deliberate imitation of a literary style with the intention to ridicule is ,lampoon ,prosody ,pun ,parody.,D
20,In a narrative poem  the poet attempts to,summarize a story,describe a place,preach a sermon,tell a story,D
21,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
22,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
23,“O mother  my mother!...How could I be expected to know? I was a child when I left this house four months ago. Why didn’t  you tell me there was danger in men-folk? Why didn’t you warn me?” the speech above achieves its literary effect through the use of: ,litotes  ,onomatopoeia ,allusion  ,repetition.,D
24,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
25,Pun as a literary device deals with,placing two opposite phrase,placing words side by side,playing on words,arrangement of words,C
26,In the society of Nwokocha Agbadi  a man’s social rating determined by his,oratorical power,physical prowess,gentle men,altruistic actions,B
27,Ariel has ‘come’ because,he has been invited by Prospero,he wants to make a request,he desires a meeting,flying is no problem to him,A
28,In Masizi Kunene’s “A Heritage of Liberation; this season’ refers to the period of: ,oppression ,freedom  ,migration  ,resettlement,B
29,Gullet is so named by the natives because of his  ,razor-sharp wit  ,long neck ,closeness to the people ,hostility ,B
30,Action in a novel is best defined as:  ,the summary of the novel’s story  ,what the characters do or say in the novel  ,the numerous sub-plots of the novel put together ,the totality of all the episodes in a novel leading to the conclusion,B
31,The technique employed in narrating the excerpt above is,flashback,stream of consciousness,foreshadowing,play-within-the-play.,B
32,The first stariza of Eliot’s “The Journey of the Magi” depict the,hazards of the journey,increment of fortune for the pilgrims,blind acceptance of faith,journey as an influential factor.,A
33,The Ministry of Peace is concerned with making,instruments,weapons,wars,reconciliation,D
34,In Marvel’s “To His Coy Mistress”  the poet-persona tries to,Build up the climax of expectation of women,discuss how a woman labour hard,meet the people’s expectation in a religious adventure,discuss the nature of man and the value of time.,D
35,In the novel  Orwell attempts to,satirize the artificiality of a machine ‘controlled society,eulogize the beauty of the socialist system,condemn the disgusting hypocrisy of all communist    	 systems,laud the boundless possibilities of the human intellect.,C
36,Which of these definitions best described a lyric? ,a short poem,a short poem in which the poet is speaking,a poem expressing a personal idea  feeling or mood,a poem divided into stanza.,C
37,Gullet is so named by the natives because of his  ,razor-sharp wit  ,long neck ,closeness to the people ,hostility ,B
38,Gbanabam Hallowell's "The Dining Table" In the poem  "the land" refers to,Land flattened by the power of gunfire,Wounded soldiers,Combatants and the wounded soldiers,To pollution,A
39,“.... in my rate” means,I’m very certain,so far as I can see,there’s no doubt,as it appears,D
40,Dramatis personae in a play refers to,List of characters,Order of appearance,Cast list,Protagonist and antagonist,A
41,The use of first person singular in the book indicates,Omniscient point of view,Flash back narrative technique,Foreshadowing narrative technique,Participant point of view,D
42,Life  though a vanity Yet  not purposeful In drawling<br> resignation Life’s spice is in strive<br> From the extract above  the poet suggests that,life is full of care,there can’t be life without strive,life is worthwhile without care,strive makes life worth living.,B
43,The speech made at the end of a dramatic performance is generally called,A prologue,An epilogue,A dirge,A monologue,B
44,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
45,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
46,In the poem "Birches" the narrator looks at the borch trees in the forest and imagines that their bent nature is as a result of a ____________ "swinging" on them,Monkey,Child,Boy,Man,C
47,In Oyonon’s The Old Man and the Medal  Ignatius Obebe isa : ,driver ,soldier ,carpenter ,catechist.,D
48,In Hardcastle's house  Hrdcastle and several "awkward servants" enter  the former instructing them on how to appear,Disgusting,Sophisticated,Friendly,Fuming,B
49,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
50,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
51,The constant companions of  Nnaife family are,togetherness and happiness,poverty and hunger,sickness and joblessness,disagreement and humiliation,B
52,This extract is an example of  ,dirge  ,satire  ,ode  ,sonnet,A
53,Who responded to the speech?,Lago,Cassio,Othello,Lodovico,B
54,Yaremi's enemies increased because of her refusal to select one of the three suitors at the,New naming ceremony,Cap picking ceremony,,,B
55,Kindo returns to find Mangu and queries him for giving ,Gin drink and evil smelling tobacco,A negative advice,A profitable advice,Warning concerning the white man,A
56,A port's use of regular rhythm is know as ,Metre,Assonance,Allegory,Onomatopoeia,A
57,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
58,The speaker is,Lago,Cassio,Othello,Desdemona,C
59,In William Blake's poem "The school boy"  the mental picture created in the mind of the reader is of a,Man ,Little boy,Little girl,Woman,B
60,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
61,Constance reveals that she knows Marlow's reputation  since Marlow is friends with,Mr. Hastings,Neville,Mr. Hardcastle,Mrs. Hardcastle,A
62,The expression above implies,Parallelism,Allegory,Personification,Repetition,C
63,In the novel  Orwell attempts to,satirize the artificiality of a machine ‘controlled society,eulogize the beauty of the socialist system,condemn the disgusting hypocrisy of all communist    	 systems,laud the boundless possibilities of the human intellect.,C
64,The theme of beauty and strength in "Black Woman" by Leopold Sedar Senghor's is a,Dramatic poem,Narrative poem,Short poem,Negritude poem,D
65,Gbanabam Hallowell's "The Dining Table" In the poem  "the land" refers to,Land flattened by the power of gunfire,Wounded soldiers,Combatants and the wounded soldiers,To pollution,A
66,Kofi Awoonors. The Anvil and the Hammer. The dominant imagery used in the poem is,Dress-making,New life,Tradition and modernity,Flags,A
67,‘I still think you can do something about it... persuade him; make him see how frustrating the whole business is bound to be for you.’  <em>The whole business in the excerpt above refers to </em>,marriage proposal,career choice,business contract,political transition.,B
