Order,Question,A,B,C,D,answer
1,The most likely measurement of length of an object using a venier caliper is: ,3.0cm ,3.3cm ,3.33cm ,3.333cm,B
2,The height at which the atmosphere ceases to exist is about 80km  if the atmosphere pressure on the ground level is 760mmHg  the pressure at height of 20km above the ground is ,380mmHg ,570mmHg ,190mmHg ,480mmHg,C
3,Two bodies P and Q are projected on the same horizontal plane  with the same initial speed but at different angles of 30o and 60o respectively to the horizontal. Neglecting air resistance  what is the ratio of range of P to that of Q? ,1:01,1:√3 ,√3:1 ,1:02,A
4,The acceleration due to gravity ,increases with increasing altitude ,decreases with increasing altitude ,increases with increase in the square of the altitude ,is not affected by the altitude,B
5,  A long-jumper leaves the ground at an angle of 20o above the horizontal and at speed of 11m/s. How far does it jumps in the horizontal direction? ,0.384m ,7.94m ,8.45m ,5m,D
6,The ice and steam point of a thermometer are 20mm and 100mm respectively: A temperature of 75oC correspond to Ymm on the thermometer. What is Y? ,100mm ,70mm ,80mm ,60mm,C
7,When a ball rolls on a  smooth level ground  the motion of its centre is ,translational ,Random ,Oscillatory ,Rotational,A
8,An airplane increases its speed 36 km/h to 360 km/h in 20.0 s. How far does it travel while accelerating.  ,4.4 km     ,1.1 km  ,2.3 km  ,1.0 km,B
9,A 3.0cm object is placed 12.0cm in front of bi-convex lens of focal length 8.0cm. Calculate the height of the image of the object.  ,3.0cm ,6.0cm ,12.0cm ,24.0cm,D
10,  A long-jumper leaves the ground at an angle of 20o above the horizontal and at speed of 11m/s. How far does it jumps in the horizontal direction? ,0.384m ,7.94m ,8.45m ,5m,D
11,A devise that converts sound energy into electrical energy is ,the horn of a motor car ,An AC generator ,A microphone ,Telephone earpiece ,C
12,Which of the following quantities is equal to the area under a velocity-time graph?,Acceleration ,Distance travelled ,Average Velocity of motion ,Total time taken.,B
13,The ice and steam point of a thermometer are 20mm and 100mm respectively: A temperature of 75oC correspond to Ymm on the thermometer. What is Y? ,100mm ,70mm ,80mm ,60mm,C
14,A cigarette lighter in a car is a resistor that  when activated  is connected across the 12 – V battery. If the lighter dissipates 33 W of power  find the current it delivers  to the lighter.  ,9.90 Ω  ,6.60 Ω  ,4.36,17.50Ω,C
15,Which of the following quantities is equal to the area under a velocity-time graph?,Acceleration ,Distance travelled ,Average Velocity of motion ,Total time taken.,B
16,A body is projected from the earth’s surface with the hope of letting it escape from the earth gravitational field. What is the minimum escape velocity?  [Earth’s radius = 6.4 x 103km  g = 10 ms-2],11.3kms-1 ,13.3kms-1 ,12.3kms-1 ,14.3kms-1 ,A
17,Dry air of column length 10 cm is trapped by a pellet of mercury of length 15 cm  with the open end uppermost. When the capillary is inverted the length of the air column increased to 25 cm while that of mercury remained constant. Calculate the atmospheric pressure (in cm of Hg.)  ,35 cm Hg  ,15 cm Hg  ,20 cm Hg  ,35 cm Hg,D
18,A car accelerates at 5.0m/s2 for 6s  the travels at the speed attained for 20s  and comes to rest after another 4.0s. Calculate the average velocity of the car during the motion.,25.0m/s,20.0m/s ,1.25m/s ,0.16m/s,A
19,To find the dept of the sea  a ship send out a second waves and an echo after one second. If the velocity of sound in water is 1500m/s  what is the depth of the sea ,0.75km ,1.50km ,2.20km ,3.00km ,A
20,Which of the following is not a thermometer?  ,thermocouple  ,pyrometer  ,hydrometer  ,platinum resistance thermometer. ,C
21,  Calcium has a work function of 19 eV with a wavelength of 150 nm. Calculate the maximum energy of a photo electron emitted. (1 eV = 16.1 x 10-19J  h = 6.6 x 10-34Js)            ,6.35 Ev  ,8.25 cV  ,14.60eV  ,None of above,D
22,A transformer is connected to a 240 V supply. The primary coil has 40 turns  and the secondary is found to be 960V. What is the ratio of the number of turns of the primary coil to the number of turns of the secondary coil? ,4:01,1:04,1:06,6:01,A
23,When a ball rolls on a  smooth level ground  the motion of its centre is ,translational ,Random ,Oscillatory ,Rotational,A
24,If the force on a charge of 0.2 Coulomb in an electric field is 4N  then electric intensity of the field is ,0.8,0.8N/C  ,20.0 N/C ,4.2 N/C ,C
25,The mode of heat transfer which does not require material medium is,conduction ,radiation ,convection ,propagation,B
26,If the force on a charge of 0.2 Coulomb in an electric field is 4N  then electric intensity of the field is ,0.8,0.8N/C  ,20.0 N/C ,4.2 N/C ,C
27,A car accelerates at 5.0m/s2 for 6s  the travels at the speed attained for 20s  and comes to rest after another 4.0s. Calculate the average velocity of the car during the motion.,25.0m/s,20.0m/s ,1.25m/s ,0.16m/s,A
28,A coin is at the bottom of a bucket filled with a liquid whose refractive index is 1.35. The coin appears to be 12.0cm below the surface of the liquid. Calculate the depth of the liquid.,16.2cm  ,13.4cm  ,8.9cm  ,5.4cm,A
